flexframegen:
  head          : 7 symbols
  preamble      : 64
  header        : 231 symbols (20 bytes)
  payload       : 2400 symbols (480 bytes)
    payload crc : none
    fec (inner) : none
    fec (outer) : SEC-DEC(39,32)
    mod scheme  : qpsk
  tail          : 7 symbols
  total         : 2709 symbols
  efficiency    : 1.42 bits/second/Hz
BursERRORPercent;SNRdB;bitErrorRate_0;bitErrorRate_1;bitErrorRate_2;bitErrorRate_3;bitErrorRate_4;bitErrorRate_5;bitErrorRate_6;bitErrorRate_7;bitErrorRate_8;bitErrorRate_9;Valid Header,Detected Frame
0.050000;8.000000;6;21;18;11;5;4;10;14;8;9;1;1 
0.050000;7.900000;10;28;2;14;9;15;13;8;16;7;1;1 
0.050000;7.800000;6;16;8;16;10;15;8;10;6;5;1;1 
0.050000;7.700000;8;13;18;14;9;9;15;13;19;8;1;1 
0.050000;7.600000;18;16;19;9;7;7;7;13;4;10;1;1 
0.050000;7.500000;16;20;5;12;5;17;14;6;20;12;1;1 
0.050000;7.400001;8;9;20;13;12;13;16;19;26;17;1;1 
0.050000;7.300001;17;17;19;6;8;20;15;20;12;8;1;1 
0.050000;7.200001;16;3;12;11;26;18;9;8;24;14;1;1 
0.050000;7.100001;18;11;11;15;18;13;15;15;15;14;1;1 
0.050000;7.000001;33;17;17;17;19;26;9;20;23;14;1;1 
0.050000;6.900001;22;18;18;13;11;14;15;10;17;22;1;1 
0.050000;6.800001;23;15;13;11;25;11;17;14;16;26;1;1 
0.050000;6.700001;13;11;28;14;24;23;8;24;16;16;1;1 
0.050000;6.600001;27;18;16;28;25;13;28;21;15;32;1;1 
0.050000;6.500001;20;15;22;20;25;19;22;21;29;16;1;1 
0.050000;6.400002;15;24;16;19;15;4;27;20;28;22;1;1 
0.050000;6.300002;24;18;27;13;10;30;19;15;17;32;1;1 
0.050000;6.200002;11;24;23;26;13;22;32;21;23;19;1;1 
0.050000;6.100002;27;25;22;18;26;15;19;13;29;24;1;1 
0.050000;6.000002;19;32;25;26;28;24;13;31;17;25;1;1 
0.050000;5.900002;32;33;18;29;32;14;29;30;20;30;1;1 
0.050000;5.800002;34;22;36;32;18;33;30;21;19;18;1;1 
0.050000;5.700002;34;26;26;32;30;32;35;25;39;19;1;1 
0.050000;5.600002;45;44;32;24;30;32;37;36;30;23;1;1 
0.050000;5.500002;35;30;36;36;19;37;23;42;36;31;1;1 
0.050000;5.400002;37;27;49;24;36;40;31;32;39;26;1;1 
0.050000;5.300003;40;36;39;56;24;31;33;41;25;40;1;1 
0.050000;5.200003;48;45;28;36;40;43;40;21;42;20;1;1 
0.050000;5.100003;42;26;33;40;46;32;46;37;40;36;1;1 
