flexframegen:
  head          : 7 symbols
  preamble      : 64
  header        : 231 symbols (20 bytes)
  payload       : 3840 symbols (480 bytes)
    payload crc : none
    fec (inner) : none
    fec (outer) : Hamming(8,4)
    mod scheme  : qpsk
  tail          : 7 symbols
  total         : 4149 symbols
  efficiency    : 0.93 bits/second/Hz
BursERRORPercent;SNRdB;bitErrorRate_0;bitErrorRate_1;bitErrorRate_2;bitErrorRate_3;bitErrorRate_4;bitErrorRate_5;bitErrorRate_6;bitErrorRate_7;bitErrorRate_8;bitErrorRate_9;Valid Header,Detected Frame
0.050000;8.000000;1;2;2;0;2;2;3;5;3;2;1;1 
0.050000;7.900000;10;2;5;2;3;1;3;2;2;6;1;1 
0.050000;7.800000;6;3;2;2;2;1;4;1;3;5;1;1 
0.050000;7.700000;0;9;6;7;0;4;6;5;2;4;1;1 
0.050000;7.600000;3;4;8;6;2;2;2;6;2;4;1;1 
0.050000;7.500000;6;2;5;8;3;3;1;8;4;2;1;1 
0.050000;7.400001;7;0;9;1;3;4;2;2;0;1;1;1 
0.050000;7.300001;5;10;6;5;11;1;0;10;1;2;1;1 
0.050000;7.200001;0;0;4;1;1;3;0;6;4;3;1;1 
0.050000;7.100001;2;5;3;2;5;1;10;8;6;5;1;1 
0.050000;7.000001;9;3;3;2;5;8;4;3;4;5;1;1 
0.050000;6.900001;10;3;1;14;2;4;1;6;7;11;1;1 
0.050000;6.800001;1;5;0;8;6;8;4;5;3;0;1;1 
0.050000;6.700001;14;7;2;14;4;1;4;3;5;2;1;1 
0.050000;6.600001;9;2;0;3;10;7;12;5;4;5;1;1 
0.050000;6.500001;16;7;5;3;8;4;6;9;3;7;1;1 
0.050000;6.400002;0;3;6;8;1;10;10;14;10;9;1;1 
0.050000;6.300002;13;1;11;2;4;4;5;16;5;6;1;1 
0.050000;6.200002;9;6;9;6;6;8;9;0;4;4;1;1 
0.050000;6.100002;6;2;5;7;5;0;5;12;7;7;1;1 
0.050000;6.000002;9;10;4;9;9;6;3;7;6;5;1;1 
0.050000;5.900002;7;4;10;1;4;14;7;5;6;7;1;1 
0.050000;5.800002;3;7;4;13;10;9;13;1;13;7;1;1 
0.050000;5.700002;8;3;14;5;14;4;8;10;13;12;1;1 
0.050000;5.600002;12;9;7;11;2;15;7;16;8;4;1;1 
0.050000;5.500002;10;8;7;18;3;13;17;10;20;15;1;1 
0.050000;5.400002;7;7;7;19;5;7;5;6;6;8;1;1 
0.050000;5.300003;9;9;5;11;9;8;12;12;12;15;1;1 
0.050000;5.200003;20;8;5;13;17;5;3;18;12;21;1;1 
0.050000;5.100003;12;13;7;17;14;9;17;12;15;22;1;1 
0.050000;5.000003;10;20;10;17;14;28;13;14;7;3;1;1 
0.050000;4.900003;21;15;8;16;14;9;14;10;9;21;1;1 
0.050000;4.800003;14;11;10;10;5;19;16;8;12;16;1;1 
0.050000;4.700003;19;21;18;15;14;14;24;14;17;8;1;1 
0.050000;4.600003;13;27;19;10;18;16;14;8;18;26;1;1 
0.050000;4.500003;18;9;23;16;16;18;13;17;21;9;1;1 
0.050000;4.400003;15;21;23;33;11;11;28;21;16;14;1;1 
0.050000;4.300004;25;25;30;25;28;13;31;24;17;18;1;1 
0.050000;4.200004;15;9;14;19;24;20;25;21;18;25;1;1 
0.050000;4.100004;24;18;26;17;26;23;24;24;19;19;1;1 
0.050000;4.000004;27;-1;28;31;26;14;13;20;30;27;1;1 
0.050000;3.900004;25;23;49;24;27;36;22;23;24;32;1;1 
0.050000;3.800004;36;21;25;24;20;24;32;35;33;19;1;1 
0.050000;3.700004;51;17;18;25;37;21;14;33;22;32;1;1 
0.050000;3.600004;27;31;40;23;40;39;26;32;25;23;1;1 
0.050000;3.500004;28;25;-1;39;28;38;33;33;36;34;1;1 
0.050000;3.400004;61;33;39;51;37;40;37;36;26;38;1;1 
0.050000;3.300004;32;38;38;1547;27;48;1934;41;44;34;1;1 
0.050000;3.200005;34;49;53;40;-1;36;59;44;55;52;1;1 
0.050000;3.100005;60;51;39;45;60;47;37;49;30;38;1;1 
0.050000;3.000005;38;42;46;39;37;51;39;52;65;67;1;1 
0.050000;2.900005;66;47;42;49;32;69;38;57;41;44;1;1 
0.050000;2.800005;75;39;43;53;63;48;79;67;49;55;1;1 
0.050000;2.700005;54;47;67;77;100;-1;48;64;50;53;1;1 
0.050000;2.600005;56;65;1925;52;41;-1;60;1860;57;68;1;1 
0.050000;2.500005;56;67;71;-1;66;95;61;67;64;43;1;1 
0.050000;2.400005;65;74;1465;61;58;57;74;56;61;93;1;1 
0.050000;2.300005;1739;55;68;61;74;87;62;1545;85;62;1;1 
0.050000;2.200006;73;3927;92;79;98;71;65;69;58;78;1;1 
0.050000;2.100006;-1;99;64;4007;73;108;66;63;92;89;1;1 
0.050000;2.000006;107;-1;88;1368;1759;82;101;76;2004;82;1;1 
0.050000;1.900006;125;5027;1947;85;-1;-1;82;3484;-1;-1;1;1 
0.050000;1.800006;-1;-1;91;1934;1904;-1;94;107;-1;81;1;1 
0.050000;1.700006;-1;1576;118;1960;1650;119;-1;87;-1;126;1;1 
0.050000;1.600006;109;100;-1;121;124;94;153;137;102;102;1;1 
0.050000;1.500006;145;131;121;894;-1;-1;1893;117;5648;-1;1;1 
0.050000;1.400006;134;137;4013;-1;-1;118;-1;140;120;126;1;1 
0.050000;1.300006;146;131;1629;108;134;138;132;135;151;117;1;1 
0.050000;1.200006;150;1785;-1;-1;139;121;114;1936;172;-1;1;1 
0.050000;1.100006;141;163;175;10154;136;-1;131;1835;132;147;1;1 
0.050000;1.000005;-1;130;143;-1;-1;152;159;163;163;-1;1;1 
0.050000;0.900005;1915;165;179;3966;10166;1493;1508;1786;-1;131;1;1 
0.050000;0.800005;-1;125;-1;-1;196;-1;-1;1912;-1;-1;1;1 
0.050000;0.700005;171;164;-1;205;183;177;192;161;-1;5943;1;1 
0.050000;0.600005;192;161;1825;-1;-1;-1;192;-1;-1;-1;1;1 
0.050000;0.500005;174;184;253;-1;1344;209;203;1642;175;1131;1;1 
0.050000;0.400005;218;208;230;-1;209;219;252;1923;227;201;1;1 
0.050000;0.300005;-1;-1;233;-1;207;-1;-1;208;-1;-1;1;1 
0.050000;0.200005;-1;259;-1;1910;-1;259;3482;215;6071;-1;1;1 
0.050000;0.100005;-1;-1;1948;231;245;-1;-1;-1;-1;-1;1;1 
0.050000;0.000005;-1;-1;-1;-1;-1;-1;-1;-1;1973;-1;1;1 
