flexframegen:
  head          : 7 symbols
  preamble      : 64
  header        : 231 symbols (20 bytes)
  payload       : 2880 symbols (480 bytes)
    payload crc : none
    fec (inner) : none
    fec (outer) : SEC-DEC(22,16)
    mod scheme  : qpsk
  tail          : 7 symbols
  total         : 3189 symbols
  efficiency    : 1.20 bits/second/Hz
BursERRORPercent;SNRdB;bitErrorRate_0;bitErrorRate_1;bitErrorRate_2;bitErrorRate_3;bitErrorRate_4;bitErrorRate_5;bitErrorRate_6;bitErrorRate_7;bitErrorRate_8;bitErrorRate_9;Valid Header,Detected Frame
0.050000;8.000000;8;7;10;0;3;10;3;13;4;2;1;1 
0.050000;7.900000;9;4;8;8;5;2;5;4;8;3;1;1 
0.050000;7.800000;7;14;9;7;1;5;8;5;0;7;1;1 
0.050000;7.700000;3;8;11;3;5;6;5;4;6;0;1;1 
0.050000;7.600000;11;6;1;6;10;4;2;9;4;6;1;1 
0.050000;7.500000;5;5;2;1;0;9;2;7;18;6;1;1 
0.050000;7.400001;7;15;16;11;11;6;9;7;5;17;1;1 
0.050000;7.300001;13;10;9;6;8;14;18;5;13;7;1;1 
0.050000;7.200001;8;11;15;24;3;8;7;3;8;8;1;1 
0.050000;7.100001;11;5;14;6;11;4;8;8;12;6;1;1 
0.050000;7.000001;9;12;12;3;19;8;10;6;6;12;1;1 
0.050000;6.900001;8;13;10;6;3;7;10;14;5;4;1;1 
0.050000;6.800001;4;15;4;8;17;5;10;11;6;9;1;1 
0.050000;6.700001;6;9;13;3;13;12;11;12;8;4;1;1 
0.050000;6.600001;7;12;8;9;18;11;9;8;4;21;1;1 
0.050000;6.500001;16;7;11;17;5;7;14;10;9;7;1;1 
0.050000;6.400002;11;15;13;4;15;11;12;18;13;11;1;1 
0.050000;6.300002;19;14;16;8;4;9;20;10;14;6;1;1 
0.050000;6.200002;9;10;16;26;15;7;10;15;9;7;1;1 
0.050000;6.100002;13;25;13;13;6;11;15;26;18;9;1;1 
0.050000;6.000002;7;19;12;14;11;14;10;17;13;11;1;1 
0.050000;5.900002;19;13;15;22;21;13;26;15;23;13;1;1 
0.050000;5.800002;30;18;13;13;21;13;21;25;25;11;1;1 
0.050000;5.700002;12;14;18;9;9;24;21;12;16;24;1;1 
0.050000;5.600002;21;22;17;25;23;23;10;12;10;17;1;1 
0.050000;5.500002;25;23;13;22;12;15;21;18;27;19;1;1 
0.050000;5.400002;26;23;24;15;18;16;16;14;21;14;1;1 
0.050000;5.300003;13;20;10;21;25;21;37;27;11;21;1;1 
0.050000;5.200003;17;31;16;25;26;27;22;15;20;18;1;1 
0.050000;5.100003;29;29;27;6;31;29;13;25;20;17;1;1 
0.050000;5.000003;21;19;33;36;20;29;17;15;35;28;1;1 
0.050000;4.900003;31;31;26;23;39;22;32;19;27;27;1;1 
0.050000;4.800003;30;34;31;25;36;36;20;30;23;32;1;1 
0.050000;4.700003;39;29;46;33;45;30;37;39;24;30;1;1 
0.050000;4.600003;33;43;27;32;56;27;1473;23;25;37;1;1 
0.050000;4.500003;35;47;36;29;36;34;36;33;26;42;1;1 
0.050000;4.400003;58;32;39;53;41;28;41;42;30;32;1;1 
0.050000;4.300004;45;29;32;34;49;36;45;36;38;35;1;1 
0.050000;4.200004;47;40;36;51;37;44;39;52;41;40;1;1 
0.050000;4.100004;47;40;60;32;48;48;51;46;55;42;1;1 
0.050000;4.000004;72;41;66;53;36;53;46;62;67;37;1;1 
0.050000;3.900004;62;45;47;42;54;49;54;59;62;69;1;1 
0.050000;3.800004;4019;48;44;53;59;59;64;58;42;34;1;1 
0.050000;3.700004;67;58;51;57;57;51;54;61;53;50;1;1 
0.050000;3.600004;69;64;59;79;69;48;64;51;52;65;1;1 
0.050000;3.500004;68;55;59;61;66;44;41;81;59;59;1;1 
0.050000;3.400004;100;71;86;51;79;75;83;60;69;61;1;1 
0.050000;3.300004;77;71;76;82;52;96;73;89;70;75;1;1 
0.050000;3.200005;1928;100;78;89;67;78;74;76;81;87;1;1 
0.050000;3.100005;110;70;102;98;-1;68;74;71;69;61;1;1 
0.050000;3.000005;86;89;84;105;82;85;80;81;108;-1;1;1 
0.050000;2.900005;75;102;108;93;122;116;103;101;91;89;1;1 
0.050000;2.800005;151;129;123;89;115;107;108;89;100;95;1;1 
0.050000;2.700005;102;116;107;96;116;78;120;-1;104;98;1;1 
0.050000;2.600005;122;83;143;126;119;-1;101;73;106;125;1;1 
0.050000;2.500005;156;108;139;116;115;121;1844;130;-1;109;1;1 
0.050000;2.400005;131;88;134;109;122;101;123;114;131;109;1;1 
0.050000;2.300005;128;1904;142;-1;142;126;121;111;146;137;1;1 
0.050000;2.200006;173;156;132;6148;148;1903;-1;140;179;152;1;1 
0.050000;2.100006;144;135;-1;139;146;-1;151;158;142;156;1;1 
0.050000;2.000006;150;140;167;179;148;167;131;-1;157;156;1;1 
0.050000;1.900006;-1;164;239;136;1540;142;-1;183;1896;6073;1;1 
0.050000;1.800006;-1;153;152;10222;181;202;-1;-1;179;165;1;1 
0.050000;1.700006;176;187;-1;160;1928;180;-1;-1;212;187;1;1 
0.050000;1.600006;-1;1436;229;200;-1;238;182;177;1822;-1;1;1 
0.050000;1.500006;-1;200;1977;-1;-1;6038;1856;-1;-1;3981;1;1 
0.050000;1.400006;-1;189;238;-1;201;209;182;1664;184;176;1;1 
0.050000;1.300006;-1;219;4109;205;211;-1;237;212;-1;-1;1;1 
0.050000;1.200006;205;226;232;235;1972;5020;-1;228;210;260;1;1 
0.050000;1.100006;243;450;220;289;3988;230;1565;283;2027;-1;1;1 
0.050000;1.000005;268;243;5943;225;221;237;-1;264;246;3967;1;1 
0.050000;0.900005;-1;237;258;-1;279;1896;245;284;274;242;1;1 
0.050000;0.800005;316;3551;261;-1;-1;5635;1950;-1;280;-1;1;1 
0.050000;0.700005;-1;288;265;-1;263;-1;-1;265;293;276;1;1 
0.050000;0.600005;3115;-1;289;313;1704;290;303;734;-1;-1;1;1 
0.050000;0.500005;315;-1;344;318;330;-1;308;-1;1936;-1;1;1 
0.050000;0.400005;8092;1939;-1;-1;334;-1;-1;1875;-1;1525;1;1 
0.050000;0.300005;-1;-1;-1;-1;-1;-1;-1;-1;1856;385;1;1 
0.050000;0.200005;1909;333;887;-1;320;376;1546;356;331;3842;1;1 
0.050000;0.100005;-1;-1;-1;361;382;-1;-1;3951;434;403;1;1 
0.050000;0.000005;-1;1967;3897;-1;-1;-1;1801;1274;-1;-1;1;1 
