flexframegen:
  head          : 7 symbols
  preamble      : 64
  header        : 231 symbols (20 bytes)
  payload       : 5760 symbols (480 bytes)
    payload crc : none
    fec (inner) : none
    fec (outer) : repeat(3)
    mod scheme  : qpsk
  tail          : 7 symbols
  total         : 6069 symbols
  efficiency    : 0.63 bits/second/Hz
BursERRORPercent;SNRdB;bitErrorRate_0;bitErrorRate_1;bitErrorRate_2;bitErrorRate_3;bitErrorRate_4;bitErrorRate_5;bitErrorRate_6;bitErrorRate_7;bitErrorRate_8;bitErrorRate_9;Valid Header,Detected Frame
0.050000;8.000000;1;1;0;1;1;2;0;1;1;1;1;1 
0.050000;7.900000;1;1;1;0;1;3;1;1;1;2;1;1 
0.050000;7.800000;1;3;0;1;0;0;0;0;1;1;1;1 
0.050000;7.700000;1;0;2;0;0;0;1;0;2;1;1;1 
0.050000;7.600000;1;0;3;1;1;3;1;4;0;1;1;1 
0.050000;7.500000;1;1;1;2;2;0;0;3;1;0;1;1 
0.050000;7.400001;3;1;2;2;0;2;1;1;2;2;1;1 
0.050000;7.300001;0;3;1;3;2;0;1;0;1;2;1;1 
0.050000;7.200001;0;2;2;0;1;0;2;0;3;0;1;1 
0.050000;7.100001;2;2;0;1;0;2;2;0;0;1;1;1 
0.050000;7.000001;5;1;1;3;0;2;3;2;2;2;1;1 
0.050000;6.900001;1;1;1;4;0;2;0;1;2;1;1;1 
0.050000;6.800001;2;1;3;3;1;2;4;0;0;3;1;1 
0.050000;6.700001;1;1;0;3;2;1;0;3;1;2;1;1 
0.050000;6.600001;0;3;2;3;6;2;0;2;0;0;1;1 
0.050000;6.500001;2;1;1;1;1;2;0;4;5;2;1;1 
0.050000;6.400002;1;4;0;3;1;0;4;5;3;1;1;1 
0.050000;6.300002;2;1;0;2;1;3;2;2;5;2;1;1 
0.050000;6.200002;4;3;3;1;0;1;3;1;2;2;1;1 
0.050000;6.100002;1;2;2;1;2;3;1;2;3;5;1;1 
0.050000;6.000002;0;1;0;2;2;3;1;1;1;2;1;1 
0.050000;5.900002;3;4;4;1;1;2;2;4;3;2;1;1 
0.050000;5.800002;0;2;0;2;5;1;4;0;1;6;1;1 
0.050000;5.700002;6;3;0;4;3;1;2;2;2;2;1;1 
0.050000;5.600002;2;3;2;4;1;4;2;1;3;2;1;1 
0.050000;5.500002;5;0;4;4;2;6;1;2;2;8;1;1 
0.050000;5.400002;4;3;4;1;6;7;1;2;3;3;1;1 
0.050000;5.300003;6;2;4;2;1;2;3;4;4;3;1;1 
0.050000;5.200003;0;1;2;2;3;4;2;2;1;6;1;1 
0.050000;5.100003;3;5;10;3;2;4;3;4;4;5;1;1 
0.050000;5.000003;6;4;3;3;6;5;6;6;3;2;1;1 
0.050000;4.900003;2;7;4;10;5;7;6;6;6;11;1;1 
0.050000;4.800003;2;3;5;5;5;1;1;9;5;1;1;1 
0.050000;4.700003;2;1485;3;5;2;4;5;6;6;4;1;1 
0.050000;4.600003;3;8;4;2;8;5;6;11;9;7;1;1 
0.050000;4.500003;3;7;3;10;7;4;9;4019;2;7;1;1 
0.050000;4.400003;9;10;10;6;8;10;8;7;5;6;1;1 
0.050000;4.300004;8;5;4;6;6;6;5;4;7;13;1;1 
0.050000;4.200004;8;5;6;12;15;7;8;8;-1;7;1;1 
0.050000;4.100004;7;4;7;-1;8;6;5;4;6;10;1;1 
0.050000;4.000004;13;6;6;11;2;6;6;8;7;9;1;1 
0.050000;3.900004;5;10;11;7;13;8;12;8;12;5;1;1 
0.050000;3.800004;9;10;17;12;6;14;5;10;13;13;1;1 
0.050000;3.700004;12;10;13;8;7;12;11;8;8;9;1;1 
0.050000;3.600004;10;8;9;13;10;1543;12;9;18;14;1;1 
0.050000;3.500004;8;12;19;12;13;10;13;11;13;7;1;1 
0.050000;3.400004;12;14;14;16;9;12;4;13;11;14;1;1 
0.050000;3.300004;17;13;9;14;21;17;14;13;17;15;1;1 
0.050000;3.200005;13;19;12;15;14;18;9;14;19;15;1;1 
0.050000;3.100005;13;18;18;13;16;15;15;17;7;15;1;1 
0.050000;3.000005;22;22;16;22;-1;19;11;15;16;19;1;1 
0.050000;2.900005;17;14;19;27;19;10;12;17;15;15;1;1 
0.050000;2.800005;23;17;14;1912;31;15;17;17;13;21;1;1 
0.050000;2.700005;11;25;20;20;18;18;23;25;25;18;1;1 
0.050000;2.600005;19;-1;22;30;16;14;23;22;-1;24;1;1 
0.050000;2.500005;-1;23;26;25;31;30;24;1454;16;25;1;1 
0.050000;2.400005;3573;25;26;19;28;1441;23;25;29;30;1;1 
0.050000;2.300005;37;-1;27;32;1879;23;22;26;-1;26;1;1 
0.050000;2.200006;1429;40;23;33;39;21;28;32;31;31;1;1 
0.050000;2.100006;24;23;31;-1;38;1375;-1;3898;22;29;1;1 
0.050000;2.000006;27;36;29;-1;1824;35;31;47;38;43;1;1 
0.050000;1.900006;1930;46;38;25;27;6015;-1;32;35;-1;1;1 
0.050000;1.800006;28;39;32;30;32;-1;-1;-1;40;-1;1;1 
0.050000;1.700006;37;37;46;30;37;-1;-1;29;-1;1823;1;1 
0.050000;1.600006;36;45;-1;43;37;-1;50;48;47;1915;1;1 
0.050000;1.500006;40;-1;26;-1;3869;1985;34;44;1923;1576;1;1 
0.050000;1.400006;47;42;-1;-1;1741;-1;-1;44;35;44;1;1 
0.050000;1.300006;3955;64;38;3919;-1;40;51;44;-1;-1;1;1 
0.050000;1.200006;-1;1959;-1;-1;-1;66;56;3903;-1;66;1;1 
0.050000;1.100006;3675;66;69;1930;1867;53;71;-1;64;43;1;1 
0.050000;1.000005;-1;70;62;52;56;56;4032;-1;858;62;1;1 
0.050000;0.900005;58;70;54;81;3874;59;-1;3922;-1;-1;1;1 
0.050000;0.800005;1979;70;63;-1;1943;-1;54;-1;63;1832;1;1 
0.050000;0.700005;-1;59;-1;74;-1;-1;-1;65;-1;73;1;1 
0.050000;0.600005;5975;2321;97;82;4044;-1;5970;1832;1581;-1;1;1 
0.050000;0.500005;594;77;4006;99;2058;1814;89;76;-1;-1;1;1 
0.050000;0.400005;1740;114;83;-1;1863;93;-1;1905;-1;-1;1;1 
0.050000;0.300005;-1;-1;-1;1772;84;-1;105;86;-1;1570;1;1 
0.050000;0.200005;-1;116;-1;83;1975;1837;-1;3438;-1;-1;1;1 
0.050000;0.100005;1838;81;-1;1602;-1;-1;-1;3988;-1;-1;1;1 
0.050000;0.000005;102;-1;-1;-1;-1;1631;1291;-1;3937;-1;1;1 
