flexframegen:
  head          : 7 symbols
  preamble      : 64
  header        : 231 symbols (20 bytes)
  payload       : 1920 symbols (480 bytes)
    payload crc : none
    fec (inner) : none
    fec (outer) : none
    mod scheme  : qpsk
  tail          : 7 symbols
  total         : 2229 symbols
  efficiency    : 1.72 bits/second/Hz
BursERRORPercent;SNRdB;bitErrorRate_0;bitErrorRate_1;bitErrorRate_2;bitErrorRate_3;bitErrorRate_4;bitErrorRate_5;bitErrorRate_6;bitErrorRate_7;bitErrorRate_8;bitErrorRate_9;Valid Header,Detected Frame
0.050000;8.000000;33;36;25;35;35;32;41;42;35;35;1;1 
0.050000;7.900000;37;37;36;36;47;32;35;35;34;40;1;1 
0.050000;7.800000;42;39;26;36;45;36;30;38;38;33;1;1 
0.050000;7.700000;35;39;30;49;34;38;35;40;37;38;1;1 
0.050000;7.600000;41;37;28;40;42;40;47;34;45;47;1;1 
0.050000;7.500000;43;34;36;42;40;54;39;49;39;42;1;1 
0.050000;7.400001;41;40;49;32;38;42;41;49;38;41;1;1 
0.050000;7.300001;42;42;50;36;36;31;43;32;28;32;1;1 
0.050000;7.200001;36;45;43;47;56;47;40;49;41;32;1;1 
0.050000;7.100001;34;46;28;46;39;38;54;46;49;49;1;1 
0.050000;7.000001;43;33;42;44;40;34;51;46;40;55;1;1 
0.050000;6.900001;40;47;40;44;50;33;32;45;39;39;1;1 
0.050000;6.800001;36;51;58;50;43;43;40;56;38;40;1;1 
0.050000;6.700001;54;43;47;43;44;47;47;52;44;51;1;1 
0.050000;6.600001;49;49;44;50;43;58;47;43;43;50;1;1 
0.050000;6.500001;49;52;44;52;57;46;48;56;40;51;1;1 
0.050000;6.400002;69;47;59;45;52;50;46;41;51;58;1;1 
0.050000;6.300002;56;59;51;50;44;42;63;44;51;49;1;1 
0.050000;6.200002;46;72;48;37;43;52;54;42;48;49;1;1 
0.050000;6.100002;53;59;52;50;47;45;51;61;60;61;1;1 
0.050000;6.000002;64;47;48;64;51;47;44;61;63;58;1;1 
0.050000;5.900002;58;56;44;55;69;58;67;60;63;57;1;1 
0.050000;5.800002;68;59;61;65;64;52;53;56;59;44;1;1 
0.050000;5.700002;72;52;66;56;59;58;79;70;53;61;1;1 
0.050000;5.600002;66;74;66;53;72;62;75;64;64;67;1;1 
0.050000;5.500002;59;50;60;60;73;63;61;62;69;64;1;1 
0.050000;5.400002;68;78;69;74;76;57;68;51;61;75;1;1 
0.050000;5.300003;64;8262;68;65;74;59;70;70;67;68;1;1 
0.050000;5.200003;75;74;66;71;69;64;67;90;61;74;1;1 
0.050000;5.100003;87;66;74;72;64;79;78;76;74;81;1;1 
0.050000;5.000003;85;77;84;75;76;86;84;89;82;72;1;1 
0.050000;4.900003;81;97;83;80;124;71;80;78;85;91;1;1 
0.050000;4.800003;71;88;87;89;83;82;72;86;112;62;1;1 
0.050000;4.700003;83;98;102;79;78;77;97;78;93;92;1;1 
0.050000;4.600003;81;93;88;86;96;75;79;96;88;89;1;1 
0.050000;4.500003;107;83;106;-1;102;78;93;92;97;86;1;1 
0.050000;4.400003;84;97;73;88;95;106;83;95;98;98;1;1 
0.050000;4.300004;84;104;97;107;105;103;94;85;102;101;1;1 
0.050000;4.200004;93;91;101;89;94;126;102;94;111;90;1;1 
0.050000;4.100004;106;99;101;94;100;-1;94;103;109;92;1;1 
0.050000;4.000004;90;86;124;122;99;111;107;99;108;103;1;1 
0.050000;3.900004;111;108;116;120;112;114;105;156;116;112;1;1 
0.050000;3.800004;125;99;117;97;172;114;113;119;115;102;1;1 
0.050000;3.700004;117;115;115;135;108;78;-1;119;106;109;1;1 
0.050000;3.600004;111;108;141;134;126;119;135;126;119;128;1;1 
0.050000;3.500004;119;117;119;119;121;123;135;122;137;128;1;1 
0.050000;3.400004;156;140;152;169;131;175;136;135;136;135;1;1 
