flexframegen:
  head          : 7 symbols
  preamble      : 64
  header        : 231 symbols (20 bytes)
  payload       : 2160 symbols (480 bytes)
    payload crc : none
    fec (inner) : none
    fec (outer) : SEC-DEC(72,64)
    mod scheme  : qpsk
  tail          : 7 symbols
  total         : 2469 symbols
  efficiency    : 1.56 bits/second/Hz
BursERRORPercent;SNRdB;bitErrorRate_0;bitErrorRate_1;bitErrorRate_2;bitErrorRate_3;bitErrorRate_4;bitErrorRate_5;bitErrorRate_6;bitErrorRate_7;bitErrorRate_8;bitErrorRate_9;Valid Header,Detected Frame
0.050000;8.000000;19;20;8;11;9;14;11;14;12;22;1;1 
0.050000;7.900000;21;20;12;11;19;18;17;26;16;19;1;1 
0.050000;7.800000;11;17;25;20;14;19;15;25;30;29;1;1 
0.050000;7.700000;18;20;16;18;12;17;32;17;27;20;1;1 
0.050000;7.600000;23;19;19;29;26;11;26;24;16;17;1;1 
0.050000;7.500000;11;18;5;20;35;30;24;13;20;19;1;1 
0.050000;7.400001;20;27;10;20;19;22;12;29;25;13;1;1 
0.050000;7.300001;21;29;31;32;32;31;31;22;12;24;1;1 
0.050000;7.200001;18;20;21;25;29;27;27;24;25;18;1;1 
0.050000;7.100001;26;16;16;17;16;23;25;23;34;25;1;1 
0.050000;7.000001;29;24;30;28;22;34;27;18;27;33;1;1 
0.050000;6.900001;19;31;19;21;18;25;17;29;41;38;1;1 
0.050000;6.800001;20;29;26;27;15;26;29;34;30;45;1;1 
0.050000;6.700001;34;29;24;31;26;29;21;32;20;19;1;1 
0.050000;6.600001;19;33;30;32;28;41;41;33;22;12;1;1 
0.050000;6.500001;43;46;19;22;43;40;40;19;29;32;1;1 
0.050000;6.400002;49;33;33;22;26;36;18;24;24;19;1;1 
0.050000;6.300002;38;30;33;40;23;32;26;29;42;50;1;1 
0.050000;6.200002;28;40;32;38;29;37;35;37;31;26;1;1 
0.050000;6.100002;27;39;42;26;37;33;43;23;45;25;1;1 
0.050000;6.000002;25;37;44;29;36;38;46;51;27;45;1;1 
0.050000;5.900002;44;48;37;44;43;34;42;50;38;43;1;1 
0.050000;5.800002;34;35;54;48;28;32;51;35;41;31;1;1 
0.050000;5.700002;39;42;57;70;49;40;48;54;49;45;1;1 
0.050000;5.600002;46;42;29;45;63;42;54;60;58;57;1;1 
0.050000;5.500002;63;44;46;49;38;49;41;50;37;59;1;1 
0.050000;5.400002;62;39;41;66;53;54;47;56;49;44;1;1 
0.050000;5.300003;52;34;72;68;63;50;66;52;27;58;1;1 
0.050000;5.200003;69;54;50;72;65;36;61;66;63;55;1;1 
0.050000;5.100003;52;69;54;59;50;54;58;56;63;48;1;1 
0.050000;5.000003;57;66;60;85;62;70;65;73;61;58;1;1 
0.050000;4.900003;54;82;36;61;79;67;88;56;47;67;1;1 
0.050000;4.800003;80;71;83;65;53;72;73;71;57;75;1;1 
0.050000;4.700003;67;65;67;69;59;67;59;80;63;50;1;1 
0.050000;4.600003;83;99;86;81;89;76;84;79;68;86;1;1 
0.050000;4.500003;77;74;78;71;74;101;81;90;88;91;1;1 
0.050000;4.400003;85;78;88;76;92;80;72;84;62;84;1;1 
0.050000;4.300004;105;82;117;101;94;106;99;97;78;70;1;1 
0.050000;4.200004;101;86;89;78;77;107;110;84;76;90;1;1 
0.050000;4.100004;88;110;94;70;79;116;81;92;91;111;1;1 
0.050000;4.000004;97;3919;98;94;96;63;116;106;115;121;1;1 
0.050000;3.900004;124;113;109;101;73;123;100;124;90;115;1;1 
0.050000;3.800004;100;125;119;118;124;118;196;89;101;115;1;1 
0.050000;3.700004;113;118;112;80;-1;73;100;117;111;122;1;1 
0.050000;3.600004;119;98;140;117;110;1850;134;98;138;140;1;1 
0.050000;3.500004;112;101;131;145;108;105;117;102;109;139;1;1 
0.050000;3.400004;107;110;126;5995;118;128;138;147;122;142;1;1 
0.050000;3.300004;159;130;129;147;154;152;108;132;135;127;1;1 
0.050000;3.200005;157;134;143;128;113;153;131;136;138;120;1;1 
0.050000;3.100005;144;164;120;125;165;142;148;135;168;164;1;1 
0.050000;3.000005;126;179;171;147;121;148;129;169;155;133;1;1 
0.050000;2.900005;146;151;152;132;186;-1;163;150;148;117;1;1 
0.050000;2.800005;192;135;161;165;2061;188;185;178;144;166;1;1 
0.050000;2.700005;174;164;168;220;176;164;172;198;182;190;1;1 
0.050000;2.600005;191;189;169;220;200;189;186;199;172;150;1;1 
0.050000;2.500005;220;178;235;180;176;178;173;179;171;192;1;1 
0.050000;2.400005;206;203;194;200;1818;193;190;182;180;181;1;1 
0.050000;2.300005;-1;197;189;181;204;211;3922;204;210;-1;1;1 
0.050000;2.200006;208;1700;192;202;-1;243;198;209;240;1883;1;1 
0.050000;2.100006;223;239;862;230;219;219;180;204;6089;219;1;1 
0.050000;2.000006;214;1938;206;197;220;-1;195;251;-1;205;1;1 
0.050000;1.900006;246;874;221;254;1573;274;230;197;216;-1;1;1 
0.050000;1.800006;244;250;249;234;1803;1676;245;238;206;-1;1;1 
0.050000;1.700006;917;239;243;219;228;1608;1963;246;267;250;1;1 
0.050000;1.600006;242;250;2258;-1;940;264;232;247;3975;-1;1;1 
0.050000;1.500006;-1;1883;1889;265;-1;289;259;-1;-1;-1;1;1 
