flexframegen:
  head          : 7 symbols
  preamble      : 64
  header        : 231 symbols (20 bytes)
  payload       : 2880 symbols (480 bytes)
    payload crc : none
    fec (inner) : none
    fec (outer) : SEC-DEC(22,16)
    mod scheme  : qpsk
  tail          : 7 symbols
  total         : 3189 symbols
  efficiency    : 1.20 bits/second/Hz
BursERRORPercent;SNRdB;bitErrorRate_0;bitErrorRate_1;bitErrorRate_2;bitErrorRate_3;bitErrorRate_4;bitErrorRate_5;bitErrorRate_6;bitErrorRate_7;bitErrorRate_8;bitErrorRate_9;Valid Header,Detected Frame
0.000000;8.000000;0;0;0;0;0;0;0;0;0;0;1;1 
0.005000;8.000000;0;0;0;1;0;0;0;0;0;0;1;1 
0.010000;8.000000;0;0;0;0;0;0;0;1;0;2;1;1 
0.015000;8.000000;0;1;0;0;0;4;0;0;0;0;1;1 
0.020000;8.000000;1;0;0;0;2;1;0;2;0;1;1;1 
0.025000;8.000000;0;3;2;2;2;1;0;6;0;3;1;1 
0.030000;8.000000;4;4;3;0;6;0;5;0;2;0;1;1 
0.035000;8.000000;2;5;3;2;6;4;3;2;3;1;1;1 
0.040000;8.000000;0;5;2;7;4;1;5;2;0;0;1;1 
0.045000;8.000000;3;2;3;0;2;2;8;6;6;2;1;1 
0.050000;8.000000;4;20;12;3;1;6;7;7;3;1;1;1 
0.055000;8.000000;2;5;10;14;9;5;4;9;7;3;1;1 
0.060000;8.000000;5;14;13;2;6;6;5;7;11;6;1;1 
0.065000;8.000000;11;11;5;6;8;6;1;6;14;1;1;1 
0.070000;8.000000;8;3;11;13;11;8;6;13;8;7;1;1 
0.075000;8.000000;15;19;16;13;16;11;12;6;15;3;1;1 
0.080000;8.000000;24;18;8;13;24;20;27;15;15;12;1;1 
0.085000;8.000000;27;10;9;25;27;19;19;13;17;15;1;1 
0.090000;8.000000;23;11;16;14;28;22;12;22;15;25;1;1 
0.095000;8.000000;31;14;14;15;27;20;15;17;14;28;1;1 
0.100000;8.000000;27;18;26;24;26;6;27;17;22;14;1;1 
0.105000;8.000000;35;18;21;13;37;20;19;18;24;18;1;1 
0.110000;8.000000;27;28;20;27;28;29;21;20;22;22;1;1 
0.115000;8.000000;25;36;33;39;30;27;42;30;39;32;1;1 
0.120000;8.000000;25;33;27;14;41;25;30;31;37;37;1;1 
0.125000;8.000000;24;28;26;33;50;28;46;33;34;41;1;1 
0.130000;8.000000;28;31;51;36;43;19;45;41;34;53;1;1 
0.135000;8.000000;48;31;32;31;52;39;42;34;24;47;1;1 
0.140000;8.000000;40;32;31;29;38;24;41;54;38;50;1;1 
0.145000;8.000000;43;56;46;46;31;34;27;45;54;63;1;1 
0.150000;8.000000;37;65;37;41;55;42;36;35;40;55;1;1 
