flexframegen:
  head          : 7 symbols
  preamble      : 64
  header        : 231 symbols (20 bytes)
  payload       : 1920 symbols (480 bytes)
    payload crc : none
    fec (inner) : none
    fec (outer) : none
    mod scheme  : qpsk
  tail          : 7 symbols
  total         : 2229 symbols
  efficiency    : 1.72 bits/second/Hz
BursERRORPercent;SNRdB;bitErrorRate_0;bitErrorRate_1;bitErrorRate_2;bitErrorRate_3;bitErrorRate_4;bitErrorRate_5;bitErrorRate_6;bitErrorRate_7;bitErrorRate_8;bitErrorRate_9;Valid Header,Detected Frame
0.000000;8.000000;1;2;0;1;0;1;1;2;0;1;1;1 
0.005000;8.000000;5;5;3;4;4;4;4;3;5;2;1;1 
0.010000;8.000000;12;8;11;6;11;11;9;10;5;10;1;1 
0.015000;8.000000;5;11;19;10;5;8;8;12;13;16;1;1 
0.020000;8.000000;18;15;19;16;17;18;17;11;11;8;1;1 
0.025000;8.000000;18;10;15;25;20;16;20;16;17;19;1;1 
0.030000;8.000000;18;24;26;20;22;23;17;27;26;26;1;1 
0.035000;8.000000;22;23;25;25;23;20;29;21;21;22;1;1 
0.040000;8.000000;23;25;35;26;31;20;29;23;30;29;1;1 
0.045000;8.000000;34;32;34;35;38;40;26;23;28;32;1;1 
0.050000;8.000000;32;34;34;35;41;36;35;33;29;27;1;1 
0.055000;8.000000;40;36;35;29;39;35;49;40;36;38;1;1 
0.060000;8.000000;39;48;47;45;40;37;42;38;37;43;1;1 
0.065000;8.000000;55;52;48;40;54;50;50;41;56;63;1;1 
0.070000;8.000000;45;52;53;56;46;61;47;62;42;49;1;1 
0.075000;8.000000;50;51;52;63;56;48;45;50;53;77;1;1 
0.080000;8.000000;63;49;50;51;47;46;63;51;44;59;1;1 
0.085000;8.000000;55;58;71;64;56;61;67;45;65;76;1;1 
0.090000;8.000000;60;74;53;40;62;56;74;66;64;53;1;1 
0.095000;8.000000;74;80;66;65;80;72;65;73;52;67;1;1 
0.100000;8.000000;74;75;81;71;70;65;82;70;67;70;1;1 
0.105000;8.000000;73;77;79;75;70;55;69;70;60;67;1;1 
0.110000;8.000000;76;68;78;81;75;70;75;65;71;92;1;1 
0.115000;8.000000;85;82;80;78;89;85;90;82;82;90;1;1 
0.120000;8.000000;81;95;82;94;98;94;68;77;93;87;1;1 
0.125000;8.000000;98;85;95;79;96;103;80;82;85;94;1;1 
0.130000;8.000000;83;95;102;102;89;87;92;89;77;92;1;1 
0.135000;8.000000;89;104;73;99;100;98;98;91;95;96;1;1 
0.140000;8.000000;91;84;92;104;99;91;118;101;103;97;1;1 
0.145000;8.000000;91;91;97;94;103;101;111;85;93;115;1;1 
0.150000;8.000000;108;113;114;121;116;111;102;105;124;115;1;1 
