flexframegen:
  head          : 7 symbols
  preamble      : 64
  header        : 231 symbols (20 bytes)
  payload       : 2160 symbols (480 bytes)
    payload crc : none
    fec (inner) : none
    fec (outer) : SEC-DEC(72,64)
    mod scheme  : qpsk
  tail          : 7 symbols
  total         : 2469 symbols
  efficiency    : 1.56 bits/second/Hz
BursERRORPercent;SNRdB;bitErrorRate_0;bitErrorRate_1;bitErrorRate_2;bitErrorRate_3;bitErrorRate_4;bitErrorRate_5;bitErrorRate_6;bitErrorRate_7;bitErrorRate_8;bitErrorRate_9;Valid Header,Detected Frame
0.000000;8.000000;0;0;0;0;0;0;0;0;0;0;1;1 
0.005000;8.000000;0;0;3;0;2;2;0;0;0;0;1;1 
0.010000;8.000000;2;0;2;0;2;0;0;0;0;0;1;1 
0.015000;8.000000;0;4;2;1;2;3;0;0;0;4;1;1 
0.020000;8.000000;1;5;2;2;6;4;12;2;4;0;1;1 
0.025000;8.000000;10;1;3;13;5;2;4;0;1;2;1;1 
0.030000;8.000000;5;6;13;0;11;15;7;12;6;7;1;1 
0.035000;8.000000;13;10;7;8;8;13;14;16;13;8;1;1 
0.040000;8.000000;11;11;13;13;11;5;16;15;24;9;1;1 
0.045000;8.000000;9;21;19;4;25;7;7;15;12;5;1;1 
0.050000;8.000000;24;14;28;12;15;17;12;12;11;27;1;1 
0.055000;8.000000;24;18;17;10;9;18;24;34;16;21;1;1 
0.060000;8.000000;27;22;22;16;23;28;30;35;27;44;1;1 
0.065000;8.000000;25;24;24;21;35;24;28;16;17;26;1;1 
0.070000;8.000000;22;41;29;37;45;34;27;36;37;24;1;1 
0.075000;8.000000;29;30;41;37;31;31;45;26;36;39;1;1 
0.080000;8.000000;38;35;35;33;37;53;16;47;38;44;1;1 
0.085000;8.000000;39;41;58;40;45;50;47;34;34;44;1;1 
0.090000;8.000000;37;48;55;59;26;39;62;44;46;46;1;1 
0.095000;8.000000;53;60;44;57;47;44;53;49;47;52;1;1 
0.100000;8.000000;52;56;63;55;64;44;47;38;51;54;1;1 
0.105000;8.000000;58;44;72;50;57;71;57;52;45;44;1;1 
0.110000;8.000000;61;99;70;54;68;56;55;53;66;70;1;1 
0.115000;8.000000;71;69;65;75;73;71;54;53;70;75;1;1 
0.120000;8.000000;56;66;67;58;74;72;93;68;68;47;1;1 
0.125000;8.000000;56;83;71;77;64;61;72;60;53;57;1;1 
0.130000;8.000000;74;72;73;93;77;91;97;82;66;82;1;1 
0.135000;8.000000;85;66;112;69;101;64;97;77;91;67;1;1 
0.140000;8.000000;80;99;90;80;83;111;99;85;82;95;1;1 
0.145000;8.000000;78;92;87;77;78;76;95;80;100;67;1;1 
0.150000;8.000000;105;94;103;84;86;94;95;123;82;72;1;1 
