flexframegen:
  head          : 7 symbols
  preamble      : 64
  header        : 231 symbols (20 bytes)
  payload       : 3840 symbols (480 bytes)
    payload crc : none
    fec (inner) : none
    fec (outer) : Golay(24,12)
    mod scheme  : qpsk
  tail          : 7 symbols
  total         : 4149 symbols
  efficiency    : 0.93 bits/second/Hz
BursERRORPercent;SNRdB;bitErrorRate_0;bitErrorRate_1;bitErrorRate_2;bitErrorRate_3;bitErrorRate_4;bitErrorRate_5;bitErrorRate_6;bitErrorRate_7;bitErrorRate_8;bitErrorRate_9;Valid Header,Detected Frame
0.000000;5.000000;0;0;0;0;0;0;0;-1;0;0;1;1 
0.005000;5.000000;0;0;0;0;0;0;0;0;0;0;1;1 
0.010000;5.000000;0;0;0;0;0;0;0;0;0;0;1;1 
0.015000;5.000000;0;0;0;0;0;0;0;0;0;0;1;1 
0.020000;5.000000;0;2;0;0;0;0;0;0;0;0;1;1 
0.025000;5.000000;0;0;0;2;0;0;0;0;0;0;1;1 
0.030000;5.000000;0;0;3;0;0;0;0;0;0;0;1;1 
0.035000;5.000000;0;4;0;0;0;0;0;2;1;1;1;1 
0.040000;5.000000;2;0;0;0;3;0;0;0;0;0;1;1 
0.045000;5.000000;0;0;0;0;4;0;0;0;0;0;1;1 
0.050000;5.000000;0;0;2;1;2;0;0;0;0;1;1;1 
0.055000;5.000000;1;3;6;4;0;0;0;0;0;0;1;1 
0.060000;5.000000;0;0;0;0;2;2;0;2;0;0;1;1 
0.065000;5.000000;3;2;6;0;0;0;4;2;4;1;1;1 
0.070000;5.000000;8;0;10;2;2;0;0;6;4;3;1;1 
0.075000;5.000000;3;8;1;0;7;2;0;5;0;5;1;1 
0.080000;5.000000;1;0;0;2;0;2;8;4;3;0;1;1 
0.085000;5.000000;5;0;7;0;2;0;0;2;0;3;1;1 
0.090000;5.000000;6;7;0;3;2;5;4;5;1;5;1;1 
0.095000;5.000000;5;7;0;0;4;3;2;6;2;3;1;1 
0.100000;5.000000;4;1;9;7;5;7;11;5;3;8;1;1 
0.105000;5.000000;3;-1;5;7;3;5;6;16;6;5;1;1 
0.110000;5.000000;12;8;7;7;9;3;11;0;13;7;1;1 
0.115000;5.000000;10;6;5;10;8;2;8;8;10;19;1;1 
0.120000;5.000000;5;19;10;12;5;5;5;10;9;2;1;1 
0.125000;5.000000;9;5;3;6;13;5;5;8;17;7;1;1 
0.130000;5.000000;9;12;5;14;10;4;11;15;5;23;1;1 
0.135000;5.000000;19;19;9;9;14;8;16;11;9;27;1;1 
0.140000;5.000000;25;9;19;25;7;10;16;6;20;12;1;1 
0.145000;5.000000;21;9;13;20;13;8;29;10;14;12;1;1 
0.150000;5.000000;8;16;11;24;28;8;15;14;16;23;1;1 
