flexframegen:
  head          : 7 symbols
  preamble      : 64
  header        : 231 symbols (20 bytes)
  payload       : 3360 symbols (480 bytes)
    payload crc : none
    fec (inner) : none
    fec (outer) : Hamming(7,4)
    mod scheme  : qpsk
  tail          : 7 symbols
  total         : 3669 symbols
  efficiency    : 1.05 bits/second/Hz
BursERRORPercent;SNRdB;bitErrorRate_0;bitErrorRate_1;bitErrorRate_2;bitErrorRate_3;bitErrorRate_4;bitErrorRate_5;bitErrorRate_6;bitErrorRate_7;bitErrorRate_8;bitErrorRate_9;Valid Header,Detected Frame
0.000000;5.000000;0;1;0;1;3;0;5;4;0;0;1;1 
0.005000;5.000000;3;1;1;3;0;3;4;2;6;5;1;1 
0.010000;5.000000;2;4;2;0;4;3;2;1;5;6;1;1 
0.015000;5.000000;4;5;4;3;0;1;1;5;0;2;1;1 
0.020000;5.000000;2;3;11;1;6;3;6;2;0;6;1;1 
0.025000;5.000000;2;3;3;6;3;10;2;8;6;8;1;1 
0.030000;5.000000;13;7;6;16;9;7;15;6;11;9;1;1 
0.035000;5.000000;14;7;8;9;4;10;13;11;12;5;1;1 
0.040000;5.000000;2;0;8;5;4;12;3;12;13;9;1;1 
0.045000;5.000000;13;10;13;11;17;8;17;7;15;18;1;1 
0.050000;5.000000;15;8;12;13;16;11;13;20;10;22;1;1 
0.055000;5.000000;10;3;23;7;11;6;15;13;11;18;1;1 
0.060000;5.000000;11;18;9;16;21;8;7;15;19;14;1;1 
0.065000;5.000000;14;25;10;18;15;16;26;27;15;17;1;1 
0.070000;5.000000;20;25;14;24;33;20;27;21;14;18;1;1 
0.075000;5.000000;13;25;23;27;10;18;24;17;14;24;1;1 
0.080000;5.000000;22;13;30;26;33;14;29;28;24;23;1;1 
0.085000;5.000000;33;20;26;31;23;30;31;27;23;20;1;1 
0.090000;5.000000;34;35;32;37;18;31;15;31;23;26;1;1 
0.095000;5.000000;28;27;30;34;29;40;24;39;26;12;1;1 
0.100000;5.000000;27;31;35;22;26;55;29;42;37;38;1;1 
0.105000;5.000000;31;19;38;40;29;40;26;35;45;34;1;1 
0.110000;5.000000;35;51;41;49;43;30;37;35;26;44;1;1 
0.115000;5.000000;30;49;47;28;42;38;53;20;41;47;1;1 
0.120000;5.000000;28;48;48;50;27;35;36;71;55;40;1;1 
0.125000;5.000000;37;40;45;41;67;45;49;40;43;38;1;1 
0.130000;5.000000;54;51;62;50;48;38;67;45;41;33;1;1 
0.135000;5.000000;59;43;49;1118;58;43;65;30;53;71;1;1 
0.140000;5.000000;56;44;60;63;67;55;55;54;57;58;1;1 
0.145000;5.000000;36;67;71;71;41;59;46;49;68;64;1;1 
0.150000;5.000000;68;46;54;58;69;54;69;63;46;48;1;1 
