flexframegen:
  head          : 7 symbols
  preamble      : 64
  header        : 231 symbols (20 bytes)
  payload       : 2880 symbols (480 bytes)
    payload crc : none
    fec (inner) : none
    fec (outer) : Hamming(12,8)
    mod scheme  : qpsk
  tail          : 7 symbols
  total         : 3189 symbols
  efficiency    : 1.20 bits/second/Hz
BursERRORPercent;SNRdB;bitErrorRate_0;bitErrorRate_1;bitErrorRate_2;bitErrorRate_3;bitErrorRate_4;bitErrorRate_5;bitErrorRate_6;bitErrorRate_7;bitErrorRate_8;bitErrorRate_9;Valid Header,Detected Frame
0.000000;5.000000;8;0;1;0;3;3;3;6;0;0;1;1 
0.005000;5.000000;3;10;2;2;0;14;6;7;1;3;1;1 
0.010000;5.000000;7;0;3;5;7;3;5;7;2;0;1;1 
0.015000;5.000000;6;0;6;0;12;6;7;5;4;11;1;1 
0.020000;5.000000;12;8;10;2;7;5;3;14;13;11;1;1 
0.025000;5.000000;13;7;9;21;7;8;11;6;9;6;1;1 
0.030000;5.000000;6;19;12;17;8;1;10;10;17;15;1;1 
0.035000;5.000000;9;18;2;8;13;15;10;22;1;14;1;1 
0.040000;5.000000;21;15;7;9;21;13;15;23;11;12;1;1 
0.045000;5.000000;6;27;6;15;23;23;19;20;15;15;1;1 
0.050000;5.000000;26;31;17;21;19;18;23;25;10;31;1;1 
0.055000;5.000000;22;19;29;40;19;9;36;39;16;22;1;1 
0.060000;5.000000;24;28;22;15;28;15;11;37;38;37;1;1 
0.065000;5.000000;26;28;16;32;31;34;26;42;22;27;1;1 
0.070000;5.000000;34;31;31;40;40;30;42;34;31;21;1;1 
0.075000;5.000000;37;32;41;30;25;33;30;44;43;27;1;1 
0.080000;5.000000;22;32;27;38;44;45;50;32;49;25;1;1 
0.085000;5.000000;43;37;33;54;36;45;28;48;45;38;1;1 
0.090000;5.000000;38;-1;46;39;44;53;46;61;31;39;1;1 
0.095000;5.000000;49;60;53;42;49;30;40;58;49;64;1;1 
0.100000;5.000000;51;27;49;38;83;44;60;54;34;53;1;1 
0.105000;5.000000;68;42;51;56;43;63;77;43;50;38;1;1 
0.110000;5.000000;61;71;44;69;63;42;58;66;62;60;1;1 
0.115000;5.000000;65;44;62;66;75;69;67;103;63;70;1;1 
0.120000;5.000000;80;68;76;81;61;62;47;61;74;93;1;1 
0.125000;5.000000;73;84;88;105;82;66;56;57;63;78;1;1 
0.130000;5.000000;66;81;70;81;109;87;56;79;79;86;1;1 
0.135000;5.000000;77;68;75;79;77;74;82;72;71;88;1;1 
0.140000;5.000000;73;95;87;79;111;89;91;1780;86;81;1;1 
0.145000;5.000000;99;76;84;82;91;101;105;81;87;87;1;1 
0.150000;5.000000;100;125;100;83;100;96;101;92;76;77;1;1 
