flexframegen:
  head          : 7 symbols
  preamble      : 64
  header        : 231 symbols (20 bytes)
  payload       : 5760 symbols (480 bytes)
    payload crc : none
    fec (inner) : none
    fec (outer) : repeat(3)
    mod scheme  : qpsk
  tail          : 7 symbols
  total         : 6069 symbols
  efficiency    : 0.63 bits/second/Hz
BursERRORPercent;SNRdB;bitErrorRate_0;bitErrorRate_1;bitErrorRate_2;bitErrorRate_3;bitErrorRate_4;bitErrorRate_5;bitErrorRate_6;bitErrorRate_7;bitErrorRate_8;bitErrorRate_9;Valid Header,Detected Frame
0.000000;5.000000;0;0;0;0;0;0;0;2;0;0;1;1 
0.005000;5.000000;1;1;0;1;0;0;0;3;0;0;1;1 
0.010000;5.000000;1;0;0;0;1;2;2;0;0;1;1;1 
0.015000;5.000000;0;1;2;1;1;0;2;2;0;0;1;1 
0.020000;5.000000;1;2;4;2;0;2;1;2;2;4;1;1 
0.025000;5.000000;1;0;0;2;3;1;3;0;1;1;1;1 
0.030000;5.000000;2;3;3;0;3;1;4;1;1;4;1;1 
0.035000;5.000000;4;0;2;4;1;1;0;6;1;1;1;1 
0.040000;5.000000;5;3;3;5;1;5;4;0;2;3;1;1 
0.045000;5.000000;5;4;5;1;6;3;2;4;2;4;1;1 
0.050000;5.000000;4;4;3;3;2;6;3;3;5;6;1;1 
0.055000;5.000000;7;3;5;6;3;2;4;0;7;5;1;1 
0.060000;5.000000;5;5;2;2;8;10;5;9;6;6;1;1 
0.065000;5.000000;8;8;2;10;4;7;7;6;6;4;1;1 
0.070000;5.000000;6;10;8;4;4;11;2;5;9;8;1;1 
0.075000;5.000000;11;-1;2;5;3;8;8;6;6;6;1;1 
0.080000;5.000000;6;7;4;8;8;5;8;11;6;14;1;1 
0.085000;5.000000;7;7;14;5;6;10;9;6;6;5;1;1 
0.090000;5.000000;12;9;9;10;4;10;5;13;9;9;1;1 
0.095000;5.000000;6;14;10;10;13;13;11;16;12;10;1;1 
0.100000;5.000000;14;16;11;15;9;11;7;12;10;14;1;1 
0.105000;5.000000;14;16;8;15;17;13;15;11;15;10;1;1 
0.110000;5.000000;15;14;13;8;16;18;11;11;14;4;1;1 
0.115000;5.000000;21;11;15;15;11;7;12;11;17;18;1;1 
0.120000;5.000000;16;16;14;10;15;11;12;14;13;8;1;1 
0.125000;5.000000;987;11;19;21;11;17;15;15;11;11;1;1 
0.130000;5.000000;11;17;15;22;14;11;13;24;22;11;1;1 
0.135000;5.000000;16;12;18;21;13;18;20;27;21;19;1;1 
0.140000;5.000000;22;18;6;14;15;16;21;19;17;20;1;1 
0.145000;5.000000;26;20;16;13;16;21;14;16;19;15;1;1 
0.150000;5.000000;27;30;15;19;20;20;18;24;32;16;1;1 
