flexframegen:
  head          : 7 symbols
  preamble      : 64
  header        : 231 symbols (20 bytes)
  payload       : 2400 symbols (480 bytes)
    payload crc : none
    fec (inner) : none
    fec (outer) : SEC-DEC(39,32)
    mod scheme  : qpsk
  tail          : 7 symbols
  total         : 2709 symbols
  efficiency    : 1.42 bits/second/Hz
BursERRORPercent;SNRdB;bitErrorRate_0;bitErrorRate_1;bitErrorRate_2;bitErrorRate_3;bitErrorRate_4;bitErrorRate_5;bitErrorRate_6;bitErrorRate_7;bitErrorRate_8;bitErrorRate_9;Valid Header,Detected Frame
0.000000;5.000000;3;14;1;4;2;0;6;2;6;10;1;1 
0.005000;5.000000;17;5;7;11;12;12;9;4;17;8;1;1 
0.010000;5.000000;10;0;16;20;18;9;14;14;9;16;1;1 
0.015000;5.000000;11;9;16;5;6;14;18;10;8;-1;1;1 
0.020000;5.000000;22;23;18;16;12;14;18;10;20;6;1;1 
0.025000;5.000000;24;15;22;20;19;24;19;31;20;8;1;1 
0.030000;5.000000;20;22;37;14;30;32;13;29;28;28;1;1 
0.035000;5.000000;26;28;21;14;26;21;34;18;32;38;1;1 
0.040000;5.000000;45;34;35;39;30;20;17;47;29;35;1;1 
0.045000;5.000000;33;47;40;42;44;31;43;43;35;31;1;1 
0.050000;5.000000;40;43;49;40;45;42;30;41;33;40;1;1 
0.055000;5.000000;32;53;63;42;55;39;50;51;54;44;1;1 
0.060000;5.000000;36;56;40;59;57;61;63;54;39;52;1;1 
0.065000;5.000000;76;54;62;52;64;66;45;59;53;54;1;1 
0.070000;5.000000;60;76;67;73;75;57;64;86;54;68;1;1 
0.075000;5.000000;-1;59;58;66;60;60;63;56;90;68;1;1 
0.080000;5.000000;75;79;80;67;86;75;70;89;67;64;1;1 
0.085000;5.000000;66;78;82;54;56;102;87;89;98;98;1;1 
0.090000;5.000000;96;81;90;89;83;86;98;63;91;89;1;1 
0.095000;5.000000;93;87;64;103;110;90;97;91;103;90;1;1 
0.100000;5.000000;99;121;107;85;105;101;99;94;95;100;1;1 
0.105000;5.000000;104;106;85;101;136;98;105;91;90;110;1;1 
0.110000;5.000000;103;99;104;95;95;94;105;122;106;111;1;1 
0.115000;5.000000;119;108;104;122;102;115;100;113;97;111;1;1 
0.120000;5.000000;117;87;129;123;104;143;140;127;116;110;1;1 
0.125000;5.000000;109;143;125;127;131;104;104;129;119;152;1;1 
0.130000;5.000000;132;127;125;134;136;146;132;142;126;154;1;1 
0.135000;5.000000;144;136;136;144;148;109;150;147;143;117;1;1 
0.140000;5.000000;145;135;137;166;145;134;135;126;161;145;1;1 
0.145000;5.000000;141;167;144;137;151;170;130;179;149;173;1;1 
0.150000;5.000000;142;150;165;167;184;168;178;141;145;150;1;1 
