flexframegen:
  head          : 7 symbols
  preamble      : 64
  header        : 231 symbols (20 bytes)
  payload       : 9600 symbols (480 bytes)
    payload crc : none
    fec (inner) : none
    fec (outer) : repeat(5)
    mod scheme  : qpsk
  tail          : 7 symbols
  total         : 9909 symbols
  efficiency    : 0.39 bits/second/Hz
BursERRORPercent;SNRdB;bitErrorRate_0;bitErrorRate_1;bitErrorRate_2;bitErrorRate_3;bitErrorRate_4;bitErrorRate_5;bitErrorRate_6;bitErrorRate_7;bitErrorRate_8;bitErrorRate_9;Valid Header,Detected Frame
0.000000;5.000000;0;0;0;0;0;0;0;0;0;0;1;1 
0.005000;5.000000;0;0;0;0;0;0;0;0;0;0;1;1 
0.010000;5.000000;0;0;0;0;0;0;0;0;0;0;1;1 
0.015000;5.000000;0;0;0;0;0;0;0;0;1;0;1;1 
0.020000;5.000000;0;0;0;0;0;1;0;2;0;0;1;1 
0.025000;5.000000;0;0;0;0;0;1;0;0;0;0;1;1 
0.030000;5.000000;0;1;1;0;1;0;0;1;1;0;1;1 
0.035000;5.000000;0;1;0;0;0;0;0;1;1859;1;1;1 
0.040000;5.000000;0;1;0;1;1;0;0;0;1;0;1;1 
0.045000;5.000000;0;0;0;1;0;0;0;1;0;0;1;1 
0.050000;5.000000;2;0;1;0;0;0;0;0;1;1;1;1 
0.055000;5.000000;0;2;0;1;1;0;0;0;0;0;1;1 
0.060000;5.000000;-1;0;1;0;0;1;0;0;1;1;1;1 
0.065000;5.000000;0;3;2;0;1;1;1;0;1;3;1;1 
0.070000;5.000000;0;1;1;0;2;1;0;1;0;0;1;1 
0.075000;5.000000;1;0;2;1;0;1;1;0;0;0;1;1 
0.080000;5.000000;1780;0;1529;1;2;0;1;0;2;0;1;1 
0.085000;5.000000;2;0;1;1;0;1;2;2;2;0;1;1 
0.090000;5.000000;1;3;2;2;0;1;2;1;1;1;1;1 
0.095000;5.000000;1;1;4;3;0;6;3;2;1;1;1;1 
0.100000;5.000000;2;486;2;452;-1;131;0;1;0;0;1;1 
0.105000;5.000000;1;1;1;3;0;2;4;1;3;1;1;1 
0.110000;5.000000;77;0;2;1;0;0;1;1;1302;1;1;1 
0.115000;5.000000;2;2;1;9;1596;0;74;2;4;2;1;1 
0.120000;5.000000;2;2;3;3;4;3;3;18;7;1;1;1 
0.125000;5.000000;2;7;1396;3;864;5;2;2;1;5;1;1 
0.130000;5.000000;0;3;2;1;1;0;2;2;4;2;1;1 
0.135000;5.000000;2;6;1650;2;3;2;2;3;2;3;1;1 
0.140000;5.000000;2;1293;3;3;6;0;2;1;1276;8;1;1 
0.145000;5.000000;7;6;1326;3;4;3;5;5;3;1;1;1 
0.150000;5.000000;4;2;2;206;673;139;2;8;4;1230;1;1 
