flexframegen:
  head          : 7 symbols
  preamble      : 64
  header        : 231 symbols (20 bytes)
  payload       : 2880 symbols (480 bytes)
    payload crc : none
    fec (inner) : none
    fec (outer) : SEC-DEC(22,16)
    mod scheme  : qpsk
  tail          : 7 symbols
  total         : 3189 symbols
  efficiency    : 1.20 bits/second/Hz
BursERRORPercent;SNRdB;bitErrorRate_0;bitErrorRate_1;bitErrorRate_2;bitErrorRate_3;bitErrorRate_4;bitErrorRate_5;bitErrorRate_6;bitErrorRate_7;bitErrorRate_8;bitErrorRate_9;Valid Header,Detected Frame
0.010000;8.000000;1;0;2;0;0;0;0;0;0;0;1;1 
0.010000;7.900000;0;0;0;0;0;0;2;0;1;0;1;1 
0.010000;7.800000;0;2;0;0;0;0;2;0;0;0;1;1 
0.010000;7.700000;0;0;0;0;0;0;2;0;0;0;1;1 
0.010000;7.600000;1;2;0;0;0;0;0;0;1;0;1;1 
0.010000;7.500000;0;0;3;0;0;0;0;0;0;0;1;1 
0.010000;7.400001;0;2;0;0;0;0;1;0;0;0;1;1 
0.010000;7.300001;0;0;0;1;0;2;0;0;0;0;1;1 
0.010000;7.200001;0;1;0;0;1;4;0;2;2;0;1;1 
0.010000;7.100001;0;1;0;0;2;0;0;0;0;0;1;1 
0.010000;7.000001;3;0;0;2;0;0;0;2;2;4;1;1 
0.010000;6.900001;0;0;2;0;0;4;1;0;0;1;1;1 
0.010000;6.800001;0;0;4;0;1;0;0;2;0;0;1;1 
0.010000;6.700001;0;0;0;0;4;2;0;1;0;2;1;1 
0.010000;6.600001;0;1;3;0;0;1;0;0;2;0;1;1 
0.010000;6.500001;0;1;0;0;0;0;4;2;0;0;1;1 
0.010000;6.400002;4;4;0;5;1;2;0;1;0;0;1;1 
0.010000;6.300002;0;2;0;1;3;4;0;1;1;3;1;1 
0.010000;6.200002;0;1;1;0;1;0;2;0;0;1;1;1 
0.010000;6.100002;1;5;2;1;0;2;2;3;0;7;1;1 
0.010000;6.000002;1;1;2;1;1;0;3;2;1;1;1;1 
0.010000;5.900002;1;0;0;2;0;3;0;2;1;1;1;1 
0.010000;5.800002;3;2;3;0;3;2;4;1;4;4;1;1 
0.010000;5.700002;0;2;6;2;0;4;5;1;2;3;1;1 
0.010000;5.600002;1;2;1;3;2;7;0;6;4;5;1;1 
0.010000;5.500002;1;5;2;7;5;3;2;5;1;3;1;1 
0.010000;5.400002;2;4;1;2;4;4;1;1;3;6;1;1 
0.010000;5.300003;4;7;2;6;2;6;2;3;3;0;1;1 
0.010000;5.200003;3;4;4;5;7;4;6;5;4;11;1;1 
0.010000;5.100003;0;7;9;4;1;8;9;6;0;7;1;1 
0.010000;5.000003;1;2;8;12;9;5;6;2;11;1;1;1 
0.010000;4.900003;4;5;13;7;5;1;6;8;4;8;1;1 
0.010000;4.800003;3;10;5;4;10;14;5;3;7;14;1;1 
0.010000;4.700003;2;10;11;10;12;10;3;5;6;12;1;1 
0.010000;4.600003;8;9;8;6;10;1;5;5;4;15;1;1 
0.010000;4.500003;8;10;16;7;9;10;19;11;15;5;1;1 
0.010000;4.400003;12;12;13;5;6;15;8;20;17;7;1;1 
0.010000;4.300004;29;16;8;12;10;9;10;25;3;17;1;1 
0.010000;4.200004;20;11;7;16;20;10;20;29;17;15;1;1 
0.010000;4.100004;9;21;22;14;19;23;18;31;20;25;1;1 
0.010000;4.000004;15;19;20;14;36;10;22;14;11;26;1;1 
0.010000;3.900004;15;28;25;35;28;26;13;11;22;30;1;1 
0.010000;3.800004;24;17;15;24;10;31;10;30;4;31;1;1 
0.010000;3.700004;16;32;22;30;34;32;25;28;23;21;1;1 
0.010000;3.600004;22;31;38;19;32;19;16;50;33;29;1;1 
0.010000;3.500004;34;22;31;23;30;27;32;28;21;33;1;1 
0.010000;3.400004;25;35;34;33;21;21;34;52;-1;30;1;1 
0.010000;3.300004;36;46;35;27;52;32;33;20;30;32;1;1 
0.010000;3.200005;48;50;52;31;25;-1;29;38;49;38;1;1 
0.010000;3.100005;33;63;47;49;43;56;43;37;40;48;1;1 
0.010000;3.000005;64;-1;46;55;67;60;47;52;62;52;1;1 
0.010000;2.900005;44;54;53;48;57;56;52;41;53;61;1;1 
0.010000;2.800005;60;46;53;76;-1;56;-1;66;59;40;1;1 
0.010000;2.700005;1933;60;69;73;53;59;61;71;50;3908;1;1 
0.010000;2.600005;1842;84;65;73;62;45;100;79;86;102;1;1 
0.010000;2.500005;75;112;78;65;-1;95;71;76;72;89;1;1 
0.010000;2.400005;74;94;81;61;79;1518;63;69;75;105;1;1 
0.010000;2.300005;72;82;95;68;98;69;89;62;81;919;1;1 
0.010000;2.200006;87;131;115;-1;82;89;1954;99;92;95;1;1 
0.010000;2.100006;1644;117;133;1940;1181;118;101;96;1895;1951;1;1 
0.010000;2.000006;90;96;-1;105;-1;1848;105;124;95;98;1;1 
0.010000;1.900006;120;-1;-1;113;114;124;97;113;115;125;1;1 
0.010000;1.800006;-1;152;133;1537;128;1913;-1;-1;128;122;1;1 
0.010000;1.700006;137;142;899;125;-1;-1;-1;129;87;125;1;1 
0.010000;1.600006;133;-1;-1;138;126;158;133;127;-1;145;1;1 
0.010000;1.500006;-1;163;-1;148;1825;161;1417;135;137;162;1;1 
0.010000;1.400006;-1;-1;-1;-1;1535;157;-1;185;129;-1;1;1 
0.010000;1.300006;171;-1;148;158;150;156;171;157;153;-1;1;1 
0.010000;1.200006;-1;-1;139;165;166;163;-1;1973;167;162;1;1 
0.010000;1.100006;3891;181;-1;195;-1;1845;1793;203;1938;-1;1;1 
0.010000;1.000005;194;-1;1491;120;-1;1839;-1;-1;181;1961;1;1 
0.010000;0.900005;1859;893;239;236;-1;-1;156;160;-1;1800;1;1 
0.010000;0.800005;-1;192;-1;1802;-1;1930;212;-1;169;1958;1;1 
0.010000;0.700005;-1;-1;-1;1916;242;-1;-1;-1;232;247;1;1 
0.010000;0.600005;263;-1;-1;-1;214;1900;245;216;263;-1;1;1 
0.010000;0.500005;-1;-1;254;246;-1;-1;-1;-1;-1;-1;1;1 
0.010000;0.400005;283;1968;-1;1688;1437;-1;273;-1;-1;294;1;1 
0.010000;0.300005;-1;-1;274;-1;-1;264;-1;-1;-1;-1;1;1 
0.010000;0.200005;2025;350;-1;-1;-1;261;-1;273;3991;303;1;1 
0.010000;0.100005;933;-1;-1;-1;-1;-1;-1;-1;295;-1;1;1 
0.010000;0.000005;866;-1;1982;-1;-1;-1;-1;1521;326;285;1;1 
