flexframegen:
  head          : 7 symbols
  preamble      : 64
  header        : 231 symbols (20 bytes)
  payload       : 2400 symbols (480 bytes)
    payload crc : none
    fec (inner) : none
    fec (outer) : SEC-DEC(39,32)
    mod scheme  : qpsk
  tail          : 7 symbols
  total         : 2709 symbols
  efficiency    : 1.42 bits/second/Hz
BursERRORPercent;SNRdB;bitErrorRate_0;bitErrorRate_1;bitErrorRate_2;bitErrorRate_3;bitErrorRate_4;bitErrorRate_5;bitErrorRate_6;bitErrorRate_7;bitErrorRate_8;bitErrorRate_9;Valid Header,Detected Frame
0.010000;8.000000;1;0;0;0;0;0;0;0;0;0;1;1 
0.010000;7.900000;2;0;2;0;0;4;0;0;0;0;1;1 
0.010000;7.800000;0;0;3;4;2;2;1;2;0;1;1;1 
0.010000;7.700000;1;0;4;0;0;2;2;0;0;0;1;1 
0.010000;7.600000;0;0;0;3;2;1;0;0;0;0;1;1 
0.010000;7.500000;0;0;0;0;0;0;3;2;0;0;1;1 
0.010000;7.400001;0;0;0;2;3;0;2;1;0;0;1;1 
0.010000;7.300001;1;0;0;0;0;0;4;2;0;0;1;1 
0.010000;7.200001;4;0;0;0;2;0;0;2;0;0;1;1 
0.010000;7.100001;0;1;2;0;0;0;0;2;1;2;1;1 
0.010000;7.000001;0;2;2;0;0;0;0;0;0;2;1;1 
0.010000;6.900001;2;0;3;0;1;2;0;0;0;0;1;1 
0.010000;6.800001;1;0;2;2;0;2;2;2;0;0;1;1 
0.010000;6.700001;3;0;4;2;0;0;0;0;0;0;1;1 
0.010000;6.600001;0;4;3;4;7;1;0;2;1;2;1;1 
0.010000;6.500001;4;0;4;4;2;0;7;4;3;2;1;1 
0.010000;6.400002;6;0;3;2;0;2;6;4;0;0;1;1 
0.010000;6.300002;2;3;1;2;6;2;5;0;1;0;1;1 
0.010000;6.200002;5;2;2;3;1;0;2;3;4;2;1;1 
0.010000;6.100002;3;0;5;6;3;12;3;0;4;2;1;1 
0.010000;6.000002;3;4;5;2;5;5;0;4;8;9;1;1 
0.010000;5.900002;4;2;6;9;2;8;4;3;3;8;1;1 
0.010000;5.800002;2;7;5;0;6;6;2;5;2;4;1;1 
0.010000;5.700002;3;5;9;3;2;13;2;8;3;4;1;1 
0.010000;5.600002;6;8;8;6;0;8;11;2;0;6;1;1 
0.010000;5.500002;9;10;6;7;13;4;1;5;7;8;1;1 
0.010000;5.400002;4;2;8;10;7;8;11;3;3;4;1;1 
0.010000;5.300003;17;8;4;6;6;7;17;10;12;9;1;1 
