flexframegen:
  head          : 7 symbols
  preamble      : 64
  header        : 231 symbols (20 bytes)
  payload       : 5760 symbols (480 bytes)
    payload crc : none
    fec (inner) : none
    fec (outer) : repeat(3)
    mod scheme  : qpsk
  tail          : 7 symbols
  total         : 6069 symbols
  efficiency    : 0.63 bits/second/Hz
BursERRORPercent;SNRdB;bitErrorRate_0;bitErrorRate_1;bitErrorRate_2;bitErrorRate_3;bitErrorRate_4;bitErrorRate_5;bitErrorRate_6;bitErrorRate_7;bitErrorRate_8;bitErrorRate_9;Valid Header,Detected Frame
0.000000;3.000000;4;5;6;3;10;7;5;7;4;6;1;1 
0.005000;3.000000;1918;12;-1;12;5;10;9;8;9;6;1;1 
0.010000;3.000000;4;10;6;4;13;6;9;11;8;9;1;1 
0.015000;3.000000;6;5;8;17;9;10;-1;9;6;13;1;1 
0.020000;3.000000;3;10;8;-1;7;7;11;11;7;-1;1;1 
0.025000;3.000000;12;17;13;4;7;11;9;11;7;11;1;1 
0.030000;3.000000;15;10;19;18;-1;12;9;14;12;1734;1;1 
0.035000;3.000000;12;19;14;19;1418;12;11;11;1785;20;1;1 
0.040000;3.000000;15;8;18;12;15;10;12;12;14;16;1;1 
0.045000;3.000000;12;15;22;1955;13;14;13;12;21;15;1;1 
0.050000;3.000000;23;17;15;19;-1;18;18;31;23;21;1;1 
0.055000;3.000000;24;27;23;21;21;23;19;19;20;14;1;1 
0.060000;3.000000;11;1435;27;19;20;25;20;24;16;20;1;1 
0.065000;3.000000;28;23;21;1756;22;20;1422;26;22;21;1;1 
0.070000;3.000000;21;21;1898;22;23;22;22;28;18;20;1;1 
0.075000;3.000000;25;25;26;19;24;37;24;23;26;1894;1;1 
0.080000;3.000000;22;21;23;26;1487;20;22;23;28;25;1;1 
0.085000;3.000000;31;26;24;25;28;32;30;17;37;28;1;1 
0.090000;3.000000;29;21;1843;19;20;32;-1;28;34;19;1;1 
0.095000;3.000000;36;26;29;1849;33;34;28;25;22;40;1;1 
0.100000;3.000000;27;1054;35;32;30;32;34;39;27;1710;1;1 
0.105000;3.000000;34;43;1920;30;35;31;32;40;34;36;1;1 
0.110000;3.000000;44;29;39;1023;37;41;41;30;29;43;1;1 
0.115000;3.000000;27;33;35;40;27;45;34;36;38;40;1;1 
0.120000;3.000000;34;38;38;36;34;38;41;1842;50;49;1;1 
0.125000;3.000000;44;52;-1;44;49;40;42;37;27;30;1;1 
0.130000;3.000000;43;47;1133;46;52;40;34;42;48;37;1;1 
0.135000;3.000000;-1;43;56;1952;50;32;3956;53;44;50;1;1 
0.140000;3.000000;45;42;39;49;51;37;1953;38;47;34;1;1 
0.145000;3.000000;49;601;55;43;-1;39;55;1934;33;44;1;1 
0.150000;3.000000;1836;44;49;75;42;43;-1;63;47;194;1;1 
