flexframegen:
  head          : 7 symbols
  preamble      : 64
  header        : 231 symbols (20 bytes)
  payload       : 2160 symbols (480 bytes)
    payload crc : none
    fec (inner) : none
    fec (outer) : SEC-DEC(72,64)
    mod scheme  : qpsk
  tail          : 7 symbols
  total         : 2469 symbols
  efficiency    : 1.56 bits/second/Hz
BursERRORPercent;SNRdB;bitErrorRate_0;bitErrorRate_1;bitErrorRate_2;bitErrorRate_3;bitErrorRate_4;bitErrorRate_5;bitErrorRate_6;bitErrorRate_7;bitErrorRate_8;bitErrorRate_9;Valid Header,Detected Frame
0.000000;3.000000;89;99;76;102;89;82;98;77;89;88;1;1 
0.005000;3.000000;100;88;89;90;86;-1;86;81;80;1804;1;1 
0.010000;3.000000;88;114;72;94;115;118;85;104;163;86;1;1 
0.015000;3.000000;105;106;103;107;81;92;100;124;171;102;1;1 
0.020000;3.000000;103;110;83;113;106;132;103;110;127;123;1;1 
0.025000;3.000000;109;126;135;133;108;111;126;127;1971;108;1;1 
0.030000;3.000000;104;112;133;117;137;138;141;105;142;112;1;1 
0.035000;3.000000;140;132;160;144;131;170;132;144;106;132;1;1 
0.040000;3.000000;128;114;134;165;859;106;-1;136;-1;145;1;1 
0.045000;3.000000;132;172;134;165;152;143;175;149;127;157;1;1 
0.050000;3.000000;152;-1;145;170;180;151;170;147;174;120;1;1 
0.055000;3.000000;135;140;160;139;190;151;153;163;161;186;1;1 
0.060000;3.000000;150;152;171;135;194;159;143;180;-1;-1;1;1 
0.065000;3.000000;167;188;167;164;215;195;187;164;181;138;1;1 
0.070000;3.000000;177;178;162;179;-1;190;197;-1;188;160;1;1 
0.075000;3.000000;-1;175;168;203;195;242;187;176;1440;196;1;1 
0.080000;3.000000;189;902;-1;-1;206;205;183;188;196;205;1;1 
0.085000;3.000000;213;184;907;205;216;1935;190;224;185;210;1;1 
0.090000;3.000000;202;240;227;211;228;182;223;198;204;191;1;1 
0.095000;3.000000;190;208;232;186;206;230;204;207;239;175;1;1 
0.100000;3.000000;221;206;244;239;227;209;216;237;225;237;1;1 
0.105000;3.000000;233;220;206;217;208;237;245;-1;214;-1;1;1 
0.110000;3.000000;239;222;245;204;233;1491;-1;235;209;233;1;1 
0.115000;3.000000;209;268;9903;251;244;215;283;253;237;262;1;1 
0.120000;3.000000;266;231;232;-1;229;216;238;230;281;247;1;1 
0.125000;3.000000;247;257;235;220;245;248;237;278;261;255;1;1 
0.130000;3.000000;227;252;291;266;257;260;274;245;223;282;1;1 
0.135000;3.000000;246;255;284;275;261;297;281;228;219;284;1;1 
0.140000;3.000000;293;256;268;240;322;290;256;259;273;1506;1;1 
0.145000;3.000000;244;301;282;265;-1;258;286;258;275;285;1;1 
0.150000;3.000000;266;276;298;272;272;278;265;1779;293;288;1;1 
