flexframegen:
  head          : 7 symbols
  preamble      : 64
  header        : 231 symbols (20 bytes)
  payload       : 3840 symbols (480 bytes)
    payload crc : none
    fec (inner) : none
    fec (outer) : Hamming(8,4)
    mod scheme  : qpsk
  tail          : 7 symbols
  total         : 4149 symbols
  efficiency    : 0.93 bits/second/Hz
BursERRORPercent;SNRdB;bitErrorRate_0;bitErrorRate_1;bitErrorRate_2;bitErrorRate_3;bitErrorRate_4;bitErrorRate_5;bitErrorRate_6;bitErrorRate_7;bitErrorRate_8;bitErrorRate_9;Valid Header,Detected Frame
0.000000;3.000000;10;20;6;14;20;7;30;22;23;19;1;1 
0.005000;3.000000;32;20;19;13;41;16;22;16;14;29;1;1 
0.010000;3.000000;26;29;20;32;28;22;22;27;18;40;1;1 
0.015000;3.000000;-1;22;21;40;21;23;38;22;23;23;1;1 
0.020000;3.000000;21;31;34;23;-1;40;27;32;35;34;1;1 
0.025000;3.000000;28;30;41;-1;20;22;36;52;31;39;1;1 
0.030000;3.000000;49;32;42;40;45;53;49;43;30;29;1;1 
0.035000;3.000000;26;45;31;19;25;48;45;38;30;29;1;1 
0.040000;3.000000;40;1558;40;48;42;26;39;1952;57;1866;1;1 
0.045000;3.000000;50;58;30;53;50;30;51;42;69;1555;1;1 
0.050000;3.000000;50;49;60;60;43;54;43;29;52;40;1;1 
0.055000;3.000000;60;48;54;38;65;36;46;48;54;-1;1;1 
0.060000;3.000000;47;64;50;63;47;78;55;65;-1;-1;1;1 
0.065000;3.000000;64;69;61;62;67;44;62;68;46;60;1;1 
0.070000;3.000000;64;44;45;47;62;45;51;57;77;-1;1;1 
0.075000;3.000000;63;82;71;68;71;59;71;77;73;57;1;1 
0.080000;3.000000;96;68;82;62;74;59;53;77;88;63;1;1 
0.085000;3.000000;69;88;76;71;1926;67;71;71;75;75;1;1 
0.090000;3.000000;70;81;80;75;-1;81;67;88;71;73;1;1 
0.095000;3.000000;1831;81;88;93;-1;55;74;89;65;-1;1;1 
0.100000;3.000000;90;872;71;85;91;82;1864;75;89;74;1;1 
0.105000;3.000000;82;3504;80;89;77;104;85;86;111;91;1;1 
0.110000;3.000000;85;97;93;78;119;89;108;92;99;95;1;1 
0.115000;3.000000;108;89;92;85;109;94;110;81;105;100;1;1 
0.120000;3.000000;83;110;75;121;98;96;83;114;119;6039;1;1 
0.125000;3.000000;89;1205;101;86;78;90;1902;81;130;100;1;1 
0.130000;3.000000;117;101;118;116;109;103;99;142;125;113;1;1 
0.135000;3.000000;113;119;-1;162;-1;127;109;111;146;118;1;1 
0.140000;3.000000;110;123;129;121;136;114;132;502;-1;123;1;1 
0.145000;3.000000;-1;89;123;1943;123;152;131;1594;126;113;1;1 
0.150000;3.000000;1104;4017;142;143;137;122;137;133;125;163;1;1 
