flexframegen:
  head          : 7 symbols
  preamble      : 64
  header        : 231 symbols (20 bytes)
  payload       : 9600 symbols (480 bytes)
    payload crc : none
    fec (inner) : none
    fec (outer) : repeat(5)
    mod scheme  : qpsk
  tail          : 7 symbols
  total         : 9909 symbols
  efficiency    : 0.39 bits/second/Hz
BursERRORPercent;SNRdB;bitErrorRate_0;bitErrorRate_1;bitErrorRate_2;bitErrorRate_3;bitErrorRate_4;bitErrorRate_5;bitErrorRate_6;bitErrorRate_7;bitErrorRate_8;bitErrorRate_9;Valid Header,Detected Frame
0.000000;3.000000;1;0;1;-1;0;3;0;0;1476;0;1;1 
0.005000;3.000000;0;1;-1;0;1;0;1;0;0;0;1;1 
0.010000;3.000000;1;1;-1;1;1;2;1;-1;3;1;1;1 
0.015000;3.000000;0;1;0;0;0;1;2;0;0;1;1;1 
0.020000;3.000000;-1;0;1;1;1;2;1;2;0;0;1;1 
0.025000;3.000000;2;-1;1921;1;1;1;-1;1;2;1;1;1 
0.030000;3.000000;0;1;0;2;2;1;2;6;0;-1;1;1 
0.035000;3.000000;2;3;3;1;3;2;0;2;2;4;1;1 
0.040000;3.000000;3;4;2;3;2;1;1;0;0;2;1;1 
0.045000;3.000000;2;4;6;2;2;3;1;5;1;2;1;1 
0.050000;3.000000;0;3;2;-1;-1;5;1;2;0;4;1;1 
0.055000;3.000000;1;4;1;1984;5;4;1;1;3;2;1;1 
0.060000;3.000000;-1;1684;0;4;6;3;0;216;3;3;1;1 
0.065000;3.000000;4;3;4;3;1;2;5;3;3;2;1;1 
0.070000;3.000000;1;-1;1;1918;-1;1863;3;4;3;0;1;1 
0.075000;3.000000;7;0;5;176;740;5;2;3;5;3;1;1 
0.080000;3.000000;4;5;4;5;6;7;72;637;4;2;1;1 
0.085000;3.000000;896;1;-1;4;9;8;3;6;1196;1476;1;1 
0.090000;3.000000;4;4;4;3;8;4;5;4;6;1;1;1 
0.095000;3.000000;7;7;10;4;21;6;5;-1;5;5;1;1 
0.100000;3.000000;11;11;5;7;1;5;7;1023;-1;185;1;1 
0.105000;3.000000;-1;4;5;2;-1;8;0;44;8;6;1;1 
0.110000;3.000000;-1;6;300;394;656;8;570;7;7;6;1;1 
0.115000;3.000000;8;4;1137;3;6;-1;5;10;5;8;1;1 
0.120000;3.000000;12;1396;-1;493;1207;1246;15;252;12;11;1;1 
0.125000;3.000000;339;10;363;10;6;1968;754;5;12;7;1;1 
0.130000;3.000000;862;11;-1;9;904;18;17;281;-1;8;1;1 
0.135000;3.000000;-1;12;7;13;9;6;-1;17;14;11;1;1 
0.140000;3.000000;-1;5;10;1002;1672;193;329;-1;2719;5;1;1 
0.145000;3.000000;13;7;17;10;10;10;1216;11;6;20;1;1 
0.150000;3.000000;15;9;12;1973;13;9;233;9;19;13;1;1 
