flexframegen:
  head          : 7 symbols
  preamble      : 64
  header        : 231 symbols (20 bytes)
  payload       : 3360 symbols (480 bytes)
    payload crc : none
    fec (inner) : none
    fec (outer) : Hamming(7,4)
    mod scheme  : qpsk
  tail          : 7 symbols
  total         : 3669 symbols
  efficiency    : 1.05 bits/second/Hz
BursERRORPercent;SNRdB;bitErrorRate_0;bitErrorRate_1;bitErrorRate_2;bitErrorRate_3;bitErrorRate_4;bitErrorRate_5;bitErrorRate_6;bitErrorRate_7;bitErrorRate_8;bitErrorRate_9;Valid Header,Detected Frame
0.000000;3.000000;28;31;31;26;-1;15;-1;23;29;23;1;1 
0.005000;3.000000;15;16;23;13;23;19;17;8;20;16;1;1 
0.010000;3.000000;24;18;28;28;27;39;28;18;26;34;1;1 
0.015000;3.000000;17;34;29;30;38;28;29;23;31;1920;1;1 
0.020000;3.000000;31;37;37;37;30;32;36;35;35;21;1;1 
0.025000;3.000000;36;32;27;42;21;39;27;35;30;33;1;1 
0.030000;3.000000;45;36;34;35;35;30;27;28;28;26;1;1 
0.035000;3.000000;42;42;26;30;54;31;47;43;57;40;1;1 
0.040000;3.000000;903;47;24;-1;34;38;49;-1;51;48;1;1 
0.045000;3.000000;45;34;37;41;65;23;53;51;44;53;1;1 
0.050000;3.000000;44;23;38;45;49;51;43;47;45;35;1;1 
0.055000;3.000000;41;50;58;41;52;37;49;37;49;33;1;1 
0.060000;3.000000;53;42;55;48;35;47;49;79;54;24;1;1 
0.065000;3.000000;74;37;61;66;1899;47;53;63;54;47;1;1 
0.070000;3.000000;89;57;70;60;55;6067;68;47;58;72;1;1 
0.075000;3.000000;78;61;43;-1;57;64;39;54;105;80;1;1 
0.080000;3.000000;77;66;66;65;75;73;44;77;89;-1;1;1 
0.085000;3.000000;62;72;80;76;64;78;65;81;80;65;1;1 
0.090000;3.000000;55;72;69;73;87;58;70;61;75;-1;1;1 
0.095000;3.000000;80;67;83;82;80;84;89;83;65;60;1;1 
0.100000;3.000000;65;100;90;102;75;78;95;87;85;59;1;1 
0.105000;3.000000;101;100;96;89;3914;90;99;80;95;1864;1;1 
0.110000;3.000000;95;96;99;75;67;126;87;96;102;3947;1;1 
0.115000;3.000000;118;100;96;98;128;121;119;91;100;87;1;1 
0.120000;3.000000;93;99;112;-1;77;108;98;120;88;115;1;1 
0.125000;3.000000;106;98;74;103;83;1893;83;86;103;107;1;1 
0.130000;3.000000;188;107;109;1700;107;130;98;105;104;115;1;1 
0.135000;3.000000;137;121;126;131;99;123;130;108;120;126;1;1 
0.140000;3.000000;119;152;124;-1;121;125;101;1537;135;1932;1;1 
0.145000;3.000000;121;111;125;131;124;107;139;144;151;115;1;1 
0.150000;3.000000;139;141;136;126;110;140;139;-1;128;131;1;1 
