flexframegen:
  head          : 7 symbols
  preamble      : 64
  header        : 231 symbols (20 bytes)
  payload       : 5760 symbols (480 bytes)
    payload crc : none
    fec (inner) : none
    fec (outer) : repeat(3)
    mod scheme  : qpsk
  tail          : 7 symbols
  total         : 6069 symbols
  efficiency    : 0.63 bits/second/Hz
BursERRORPercent;SNRdB;bitErrorRate_0;bitErrorRate_1;bitErrorRate_2;bitErrorRate_3;bitErrorRate_4;bitErrorRate_5;bitErrorRate_6;bitErrorRate_7;bitErrorRate_8;bitErrorRate_9;Valid Header,Detected Frame
0.100000;8.000000;3;2;3;1;4;4;3;2;1;1;1;1 
0.100000;7.900000;4;2;2;5;1;2;2;2;9;5;1;1 
0.100000;7.800000;4;3;4;7;2;3;2;3;4;2;1;1 
0.100000;7.700000;2;4;8;3;4;3;4;5;12;3;1;1 
0.100000;7.600000;4;5;9;4;3;6;5;3;0;2;1;1 
0.100000;7.500000;1;6;7;7;6;4;5;3;4;1;1;1 
0.100000;7.400001;4;9;5;5;6;5;4;5;4;5;1;1 
0.100000;7.300001;5;6;7;3;3;4;3;4;5;7;1;1 
0.100000;7.200001;3;3;2;1;5;4;4;4;3;4;1;1 
0.100000;7.100001;5;7;7;4;2;7;7;6;5;3;1;1 
0.100000;7.000001;2;3;6;2;4;5;11;3;7;5;1;1 
0.100000;6.900001;6;2;5;3;2;6;7;2;1;5;1;1 
0.100000;6.800001;1;5;8;4;5;5;6;5;8;4;1;1 
0.100000;6.700001;2;3;4;6;7;5;5;4;5;6;1;1 
0.100000;6.600001;3;4;6;4;10;9;3;5;2;6;1;1 
0.100000;6.500001;6;5;4;8;5;8;7;8;13;6;1;1 
0.100000;6.400002;4;8;7;5;3;2;4;5;2;4;1;1 
0.100000;6.300002;2;8;6;7;5;5;10;6;10;7;1;1 
0.100000;6.200002;6;5;4;7;5;8;5;3;5;11;1;1 
0.100000;6.100002;8;6;4;4;3;8;8;5;8;7;1;1 
0.100000;6.000002;3;3;5;9;7;8;7;6;5;14;1;1 
0.100000;5.900002;8;7;9;4;4;7;11;7;4;6;1;1 
0.100000;5.800002;11;7;10;9;11;9;0;8;10;4;1;1 
0.100000;5.700002;7;13;5;7;6;11;9;8;7;7;1;1 
0.100000;5.600002;7;11;7;8;6;9;5;10;9;10;1;1 
0.100000;5.500002;8;11;4;5;7;5;8;11;12;10;1;1 
0.100000;5.400002;12;10;7;9;8;7;7;7;6;7;1;1 
0.100000;5.300003;11;21;13;13;8;12;5;8;7;15;1;1 
0.100000;5.200003;11;11;14;12;8;9;10;13;10;4;1;1 
0.100000;5.100003;9;7;9;11;8;10;8;10;6;16;1;1 
0.100000;5.000003;10;9;16;11;12;9;11;9;379;11;1;1 
0.100000;4.900003;15;10;14;10;18;12;7;11;14;7;1;1 
0.100000;4.800003;8;14;11;10;6;14;15;12;898;10;1;1 
0.100000;4.700003;8;13;15;10;14;15;9;17;11;16;1;1 
0.100000;4.600003;16;13;15;17;13;7;7;8;13;14;1;1 
0.100000;4.500003;13;16;5;13;17;8;13;13;14;19;1;1 
0.100000;4.400003;16;12;20;11;20;16;1866;13;16;15;1;1 
0.100000;4.300004;17;25;12;19;15;21;10;23;17;8;1;1 
0.100000;4.200004;13;20;20;16;19;11;13;21;23;23;1;1 
0.100000;4.100004;24;14;17;20;14;21;13;21;20;13;1;1 
0.100000;4.000004;20;20;16;21;20;21;17;23;16;-1;1;1 
0.100000;3.900004;27;18;19;19;18;20;15;13;15;21;1;1 
0.100000;3.800004;18;17;23;1822;27;-1;17;26;15;10;1;1 
0.100000;3.700004;21;16;18;30;35;19;20;27;34;12;1;1 
0.100000;3.600004;20;21;14;28;26;26;22;24;22;20;1;1 
0.100000;3.500004;26;-1;27;1355;24;25;19;24;25;18;1;1 
0.100000;3.400004;28;16;24;23;30;25;26;33;29;32;1;1 
0.100000;3.300004;27;25;25;24;29;30;21;27;28;1859;1;1 
0.100000;3.200005;28;26;26;34;25;24;25;25;1903;25;1;1 
0.100000;3.100005;30;31;33;41;21;34;29;34;31;28;1;1 
0.100000;3.000005;24;25;30;25;26;14;33;25;34;1451;1;1 
0.100000;2.900005;24;27;36;32;27;24;23;31;37;-1;1;1 
0.100000;2.800005;34;27;35;-1;41;36;30;57;47;38;1;1 
0.100000;2.700005;30;42;43;28;37;35;33;27;30;36;1;1 
0.100000;2.600005;35;41;3933;39;769;38;33;36;28;1996;1;1 
0.100000;2.500005;30;45;3919;44;33;-1;32;35;49;-1;1;1 
0.100000;2.400005;47;1868;42;43;39;3982;-1;45;1925;47;1;1 
0.100000;2.300005;52;32;48;44;26;50;39;40;46;40;1;1 
0.100000;2.200006;41;1896;1940;48;39;42;46;34;49;48;1;1 
0.100000;2.100006;45;1584;-1;46;203;-1;-1;-1;44;-1;1;1 
0.100000;2.000006;59;54;67;-1;-1;75;44;-1;1622;54;1;1 
0.100000;1.900006;55;1892;57;52;-1;-1;54;63;52;59;1;1 
0.100000;1.800006;1917;55;1852;60;52;-1;-1;54;1824;61;1;1 
0.100000;1.700006;55;61;57;49;893;62;70;1122;-1;58;1;1 
0.100000;1.600006;70;63;57;66;1415;1868;748;80;66;61;1;1 
0.100000;1.500006;74;72;1277;1355;59;-1;-1;-1;79;-1;1;1 
0.100000;1.400006;-1;1158;77;-1;76;54;-1;70;64;63;1;1 
0.100000;1.300006;71;3971;-1;-1;-1;-1;-1;86;81;72;1;1 
0.100000;1.200006;-1;99;-1;65;-1;64;3686;-1;-1;74;1;1 
0.100000;1.100006;62;1916;-1;-1;-1;83;81;-1;103;-1;1;1 
0.100000;1.000005;-1;-1;83;87;-1;1901;74;97;-1;636;1;1 
0.100000;0.900005;94;-1;-1;1913;84;-1;106;-1;80;1961;1;1 
0.100000;0.800005;-1;-1;1979;-1;-1;103;-1;-1;1678;1162;1;1 
0.100000;0.700005;-1;-1;-1;-1;1724;-1;1975;82;-1;-1;1;1 
0.100000;0.600005;113;-1;124;-1;-1;-1;-1;-1;115;3475;1;1 
0.100000;0.500005;-1;-1;-1;1613;106;-1;2005;1884;1373;-1;1;1 
0.100000;0.400005;-1;-1;-1;118;-1;-1;-1;-1;-1;1834;1;1 
0.100000;0.300005;-1;118;-1;1928;-1;-1;-1;1140;1821;-1;1;1 
0.100000;0.200005;1948;-1;-1;129;1441;-1;3991;109;113;128;1;1 
0.100000;0.100005;1635;148;1697;-1;-1;131;-1;-1;-1;-1;1;1 
0.100000;0.000005;125;133;-1;123;-1;1892;-1;-1;1399;-1;1;1 
