flexframegen:
  head          : 7 symbols
  preamble      : 64
  header        : 231 symbols (20 bytes)
  payload       : 2160 symbols (480 bytes)
    payload crc : none
    fec (inner) : none
    fec (outer) : SEC-DEC(72,64)
    mod scheme  : qpsk
  tail          : 7 symbols
  total         : 2469 symbols
  efficiency    : 1.56 bits/second/Hz
BursERRORPercent;SNRdB;bitErrorRate_0;bitErrorRate_1;bitErrorRate_2;bitErrorRate_3;bitErrorRate_4;bitErrorRate_5;bitErrorRate_6;bitErrorRate_7;bitErrorRate_8;bitErrorRate_9;Valid Header,Detected Frame
0.100000;8.000000;71;49;36;56;64;56;59;55;67;37;1;1 
0.100000;7.900000;64;58;68;54;63;47;53;42;46;48;1;1 
0.100000;7.800000;50;42;74;49;67;44;42;44;60;66;1;1 
0.100000;7.700000;52;54;63;43;80;55;49;45;58;74;1;1 
0.100000;7.600000;73;68;57;76;45;55;57;51;69;76;1;1 
0.100000;7.500000;70;51;42;58;48;65;66;54;64;81;1;1 
0.100000;7.400001;76;49;82;60;74;65;61;46;55;66;1;1 
0.100000;7.300001;67;74;51;60;46;74;47;85;59;76;1;1 
0.100000;7.200001;61;65;51;64;62;66;59;58;68;52;1;1 
0.100000;7.100001;73;61;64;90;74;64;72;73;67;81;1;1 
0.100000;7.000001;64;60;66;78;81;69;62;88;75;64;1;1 
0.100000;6.900001;51;57;73;64;59;96;64;58;60;94;1;1 
0.100000;6.800001;73;76;95;74;77;84;68;71;70;70;1;1 
0.100000;6.700001;76;80;94;80;78;74;101;85;81;70;1;1 
0.100000;6.600001;63;89;83;80;82;100;78;78;66;64;1;1 
0.100000;6.500001;75;72;78;86;80;77;88;92;64;87;1;1 
0.100000;6.400002;91;89;81;83;63;81;106;97;79;48;1;1 
0.100000;6.300002;78;73;83;84;85;66;95;93;101;67;1;1 
0.100000;6.200002;86;93;78;85;90;104;106;85;77;104;1;1 
0.100000;6.100002;93;96;114;100;98;82;107;91;83;96;1;1 
0.100000;6.000002;114;110;114;86;98;85;104;107;104;94;1;1 
0.100000;5.900002;92;77;100;94;107;91;105;82;89;86;1;1 
0.100000;5.800002;108;85;75;115;108;72;101;124;103;90;1;1 
0.100000;5.700002;97;103;88;105;97;105;85;88;101;103;1;1 
0.100000;5.600002;90;108;110;91;98;80;88;111;122;114;1;1 
0.100000;5.500002;116;99;92;127;127;126;105;100;129;113;1;1 
0.100000;5.400002;113;109;118;118;87;95;120;104;107;95;1;1 
0.100000;5.300003;128;133;146;129;113;119;101;95;107;126;1;1 
0.100000;5.200003;135;103;124;130;91;121;93;125;110;122;1;1 
0.100000;5.100003;130;118;139;136;134;129;114;136;122;112;1;1 
0.100000;5.000003;124;108;123;108;134;105;137;114;131;118;1;1 
0.100000;4.900003;146;127;129;111;145;127;129;121;131;137;1;1 
0.100000;4.800003;144;124;145;113;140;139;161;128;131;142;1;1 
0.100000;4.700003;128;124;127;120;160;126;146;134;116;135;1;1 
0.100000;4.600003;145;127;137;116;133;140;133;-1;140;156;1;1 
0.100000;4.500003;133;154;126;141;130;153;146;146;148;142;1;1 
0.100000;4.400003;134;159;167;131;158;144;163;151;120;157;1;1 
0.100000;4.300004;153;171;152;151;164;165;152;176;156;169;1;1 
