flexframegen:
  head          : 7 symbols
  preamble      : 64
  header        : 231 symbols (20 bytes)
  payload       : 2400 symbols (480 bytes)
    payload crc : none
    fec (inner) : none
    fec (outer) : SEC-DEC(39,32)
    mod scheme  : qpsk
  tail          : 7 symbols
  total         : 2709 symbols
  efficiency    : 1.42 bits/second/Hz
SNRdB;bitErrorRate_0;bitErrorRate_1;bitErrorRate_2;bitErrorRate_3;bitErrorRate_4;bitErrorRate_5;bitErrorRate_6;bitErrorRate_7;bitErrorRate_8;bitErrorRate_9;Valid Header,Detected Frame
2.400005;110;1940;-1;-1;90;118;97;97;107;93;1;1 
2.300005;180;120;141;149;90;87;116;2022;108;1886;1;1 
2.200006;99;4003;112;118;108;1522;-1;117;93;1849;1;1 
2.100006;112;107;108;134;118;124;102;124;100;-1;1;1 
2.000006;139;136;124;1993;129;123;-1;117;-1;1910;1;1 
1.900006;179;1942;133;128;150;131;119;121;-1;132;1;1 
1.800006;-1;156;179;151;127;124;146;112;118;159;1;1 
1.700006;161;182;1808;113;132;1880;-1;149;115;164;1;1 
1.600006;182;-1;1660;128;131;148;1751;154;166;-1;1;1 
1.500006;1868;171;-1;878;3995;173;-1;-1;-1;-1;1;1 
1.400006;228;174;-1;198;-1;-1;-1;172;1987;-1;1;1 
1.300006;-1;200;196;-1;-1;-1;221;180;213;166;1;1 
1.200006;-1;205;217;-1;152;-1;189;1914;192;204;1;1 
1.100006;-1;1771;-1;-1;-1;219;225;221;6079;270;1;1 
1.000005;1990;-1;-1;240;-1;1919;260;1950;2806;208;1;1 
0.900005;1859;-1;246;-1;-1;245;-1;227;-1;-1;1;1 
0.800005;197;258;-1;240;-1;-1;281;233;261;1780;1;1 
0.700005;293;-1;1922;1932;-1;277;-1;1972;1882;246;1;1 
0.600005;-1;-1;251;-1;270;-1;285;-1;243;270;1;1 
0.500005;1952;-1;1672;1700;-1;288;303;314;-1;281;1;1 
0.400005;-1;280;269;-1;311;-1;-1;-1;1812;-1;1;1 
0.300005;-1;256;-1;-1;279;-1;-1;-1;-1;1868;1;1 
0.200005;-1;-1;-1;-1;-1;-1;-1;1677;-1;-1;1;1 
0.100005;-1;1679;-1;319;-1;4035;372;1919;-1;-1;1;1 
0.000005;-1;5949;-1;-1;324;1876;1962;-1;1877;324;1;1 
