flexframegen:
  head          : 7 symbols
  preamble      : 64
  header        : 231 symbols (20 bytes)
  payload       : 2400 symbols (480 bytes)
    payload crc : none
    fec (inner) : none
    fec (outer) : SEC-DEC(39,32)
    mod scheme  : qpsk
  tail          : 7 symbols
  total         : 2709 symbols
  efficiency    : 1.42 bits/second/Hz
SNRdB;bitErrorRate_0;bitErrorRate_1;bitErrorRate_2;bitErrorRate_3;bitErrorRate_4;bitErrorRate_5;bitErrorRate_6;bitErrorRate_7;bitErrorRate_8;bitErrorRate_9;Valid Header,Detected Frame
8.000000;0;0;0;0;0;0;0;0;0;0;1;1 
7.900000;0;0;0;0;0;0;0;0;0;0;1;1 
7.800000;0;0;0;0;0;0;0;0;0;0;1;1 
7.700000;0;0;0;0;0;0;0;0;0;0;1;1 
7.600000;0;0;0;0;0;0;0;0;0;0;1;1 
7.500000;0;0;0;0;0;0;0;0;0;0;1;1 
7.400001;0;0;0;0;0;0;0;0;0;0;1;1 
7.300001;0;0;0;0;0;0;0;0;0;0;1;1 
7.200001;0;0;0;0;0;0;0;0;0;0;1;1 
7.100001;0;0;0;2;0;0;0;0;0;0;1;1 
7.000001;2;0;0;0;0;0;0;0;0;0;1;1 
6.900001;0;0;0;0;0;0;0;2;0;0;1;1 
6.800001;0;2;0;0;0;0;1;0;3;0;1;1 
6.700001;0;0;0;2;0;0;0;0;0;0;1;1 
6.600001;0;0;0;0;0;0;4;0;2;0;1;1 
6.500001;0;3;0;0;0;0;0;0;0;2;1;1 
6.400002;0;0;0;0;0;0;0;0;0;0;1;1 
6.300002;5;0;0;2;3;0;0;1;2;0;1;1 
6.200002;0;2;2;0;0;0;0;0;0;1;1;1 
6.100002;0;2;0;0;1;2;1;0;0;0;1;1 
6.000002;0;2;2;0;0;4;2;0;0;1;1;1 
5.900002;4;2;0;0;0;0;0;0;0;0;1;1 
5.800002;0;3;3;2;4;2;0;0;0;4;1;1 
5.700002;5;0;2;4;0;2;0;1;1;0;1;1 
5.600002;2;1;1;0;0;0;0;2;2;0;1;1 
5.500002;2;11;5;1;5;5;7;2;2;1;1;1 
5.400002;9;2;6;7;0;4;4;0;5;4;1;1 
5.300003;4;2;4;4;-1;1;0;1;3;0;1;1 
5.200003;7;3;0;0;3;2;6;0;3;8;1;1 
5.100003;2;4;7;2;0;1;7;3;8;2;1;1 
5.000003;6;4;5;14;3;11;2;6;4;4;1;1 
4.900003;1;3;9;16;10;6;12;9;8;8;1;1 
4.800003;0;9;8;2;3;1;6;3;7;6;1;1 
4.700003;9;15;5;11;8;14;5;11;8;9;1;1 
4.600003;5;13;3;10;9;8;12;9;18;14;1;1 
4.500003;6;16;8;16;18;14;21;10;6;16;1;1 
4.400003;12;14;15;16;18;15;19;14;10;8;1;1 
4.300004;7;16;15;21;18;25;6;16;9;16;1;1 
4.200004;21;27;22;24;13;29;19;20;23;25;1;1 
4.100004;31;17;21;14;19;22;15;21;20;16;1;1 
4.000004;22;9;21;18;26;49;16;18;40;19;1;1 
3.900004;16;38;22;21;24;1533;27;18;29;24;1;1 
3.800004;30;15;32;28;27;28;15;29;24;25;1;1 
3.700004;35;-1;39;52;-1;29;23;35;31;22;1;1 
3.600004;40;48;33;44;35;35;41;30;34;38;1;1 
3.500004;27;37;37;40;58;44;37;32;31;36;1;1 
3.400004;47;31;50;46;72;57;33;42;41;-1;1;1 
3.300004;49;34;40;49;51;35;50;39;34;53;1;1 
3.200005;42;53;54;67;60;56;54;63;63;57;1;1 
3.100005;-1;46;55;62;37;51;54;59;46;-1;1;1 
3.000005;64;64;58;71;53;51;-1;59;48;74;1;1 
2.900005;53;66;53;70;46;93;94;72;53;67;1;1 
2.800005;71;75;81;82;47;77;66;79;61;77;1;1 
2.700005;70;86;77;65;64;78;83;60;82;95;1;1 
2.600005;64;76;82;97;83;90;87;86;70;92;1;1 
2.500005;113;89;98;76;81;71;73;81;-1;78;1;1 
