flexframegen:
  head          : 7 symbols
  preamble      : 64
  header        : 231 symbols (20 bytes)
  payload       : 3360 symbols (480 bytes)
    payload crc : none
    fec (inner) : none
    fec (outer) : Hamming(7,4)
    mod scheme  : qpsk
  tail          : 7 symbols
  total         : 3669 symbols
  efficiency    : 1.05 bits/second/Hz
SNRdB;bitErrorRate_0;bitErrorRate_1;bitErrorRate_2;bitErrorRate_3;bitErrorRate_4;bitErrorRate_5;bitErrorRate_6;bitErrorRate_7;bitErrorRate_8;bitErrorRate_9;Valid Header,Detected Frame
8.000000;0;0;0;0;0;0;0;0;0;0;1;1 
7.900000;0;0;0;0;0;0;0;0;0;0;1;1 
7.800000;0;0;0;0;0;0;0;0;0;0;1;1 
7.700000;0;0;0;0;0;0;0;0;0;0;1;1 
7.600000;0;0;0;0;0;0;0;0;0;0;1;1 
7.500000;0;0;0;0;0;0;0;0;0;0;1;1 
7.400001;0;0;0;0;0;0;0;0;0;0;1;1 
7.300001;0;0;0;0;0;0;0;1;0;0;1;1 
7.200001;0;0;0;0;0;0;0;0;0;0;1;1 
7.100001;0;0;0;0;0;0;0;0;0;0;1;1 
7.000001;0;0;0;0;0;0;0;0;0;2;1;1 
6.900001;0;0;0;0;0;0;0;0;0;0;1;1 
6.800001;0;0;0;0;0;0;0;0;0;0;1;1 
6.700001;1;0;0;0;2;0;0;0;0;0;1;1 
6.600001;0;0;0;0;0;0;0;0;0;0;1;1 
6.500001;0;0;0;0;0;0;0;0;0;0;1;1 
6.400002;0;0;0;0;0;2;0;0;0;0;1;1 
6.300002;1;0;0;0;0;0;0;0;0;0;1;1 
6.200002;0;0;1;0;0;0;0;0;1;0;1;1 
6.100002;0;2;0;0;0;0;0;0;0;0;1;1 
6.000002;0;0;0;0;0;0;0;0;1;0;1;1 
5.900002;0;0;0;0;0;0;2;0;0;2;1;1 
5.800002;0;0;0;2;0;0;0;0;0;1;1;1 
5.700002;0;0;0;2;2;0;0;0;0;0;1;1 
5.600002;3;0;1;0;0;0;1;0;0;0;1;1 
5.500002;0;4;0;0;0;0;2;0;0;2;1;1 
5.400002;0;0;4;3;3;0;0;0;5;0;1;1 
5.300003;2;0;0;0;-1;1;0;0;4;0;1;1 
5.200003;0;0;0;0;6;0;0;2;2;2;1;1 
5.100003;5;0;0;1;3;0;4;0;0;0;1;1 
5.000003;3;2;0;1;0;2;6;3;4;0;1;1 
4.900003;0;0;2;0;3;2;1;2;1;0;1;1 
4.800003;0;1;1;3;1;3;8;0;7;6;1;1 
4.700003;1;4;0;2;3;4;2;0;0;0;1;1 
4.600003;0;5;5;1;6;2;3;2;-1;0;1;1 
4.500003;0;1;0;0;4;3;6;4;3;6;1;1 
4.400003;3;1;4;3;4;10;2;4;5;2;1;1 
4.300004;7;7;9;4;6004;1;2;2;4;2;1;1 
4.200004;4;5;1;6;4;3;4;0;8;6;1;1 
4.100004;5;7;0;6;9;7;3;11;5;9;1;1 
4.000004;3;5;6;3;5;4;9;3;15;2;1;1 
3.900004;9;3;4;4;13;1556;8;-1;6;0;1;1 
3.800004;7;3;4;10;4;6;4;15;9;2;1;1 
3.700004;10;19;11;15;-1;7;4;13;12;6;1;1 
3.600004;13;16;4;4;14;1;14;9;11;6;1;1 
3.500004;14;8;15;10;12;5;9;11;14;9;1;1 
3.400004;9;16;13;14;7;14;7;14;10;-1;1;1 
3.300004;18;10;11;10;14;12;26;14;11;15;1;1 
3.200005;10;10;10;17;19;8;21;24;1945;18;1;1 
3.100005;6101;30;23;31;19;-1;19;27;15;-1;1;1 
3.000005;18;20;15;15;17;9;28;16;15;22;1;1 
2.900005;23;12;20;28;25;28;29;24;29;18;1;1 
2.800005;24;18;20;23;8;20;26;19;15;24;1;1 
2.700005;30;35;28;26;-1;29;34;39;19;27;1;1 
2.600005;26;40;32;32;24;25;34;885;20;23;1;1 
2.500005;31;23;28;23;34;38;28;31;30;33;1;1 
