flexframegen:
  head          : 7 symbols
  preamble      : 64
  header        : 231 symbols (20 bytes)
  payload       : 3840 symbols (480 bytes)
    payload crc : none
    fec (inner) : none
    fec (outer) : Hamming(8,4)
    mod scheme  : qpsk
  tail          : 7 symbols
  total         : 4149 symbols
  efficiency    : 0.93 bits/second/Hz
SNRdB;bitErrorRate_0;bitErrorRate_1;bitErrorRate_2;bitErrorRate_3;bitErrorRate_4;bitErrorRate_5;bitErrorRate_6;bitErrorRate_7;bitErrorRate_8;bitErrorRate_9;Valid Header,Detected Frame
2.400005;55;52;41;37;31;45;34;40;48;41;1;1 
2.300005;47;37;41;42;-1;39;-1;1854;35;3564;1;1 
2.200006;32;4060;45;55;1931;1525;-1;48;39;1858;1;1 
2.100006;48;1808;6018;-1;48;1966;27;53;37;-1;1;1 
2.000006;63;905;63;53;49;33;-1;26;-1;2023;1;1 
1.900006;60;1890;64;61;-1;39;62;66;-1;54;1;1 
1.800006;-1;36;73;76;52;45;-1;60;59;63;1;1 
1.700006;66;68;1912;-1;42;1906;-1;65;38;44;1;1 
1.600006;-1;10017;1614;-1;63;49;-1;1514;68;-1;1;1 
1.500006;1781;1928;59;1932;65;59;-1;61;-1;-1;1;1 
1.400006;80;91;93;77;-1;-1;-1;73;6067;95;1;1 
1.300006;-1;124;70;84;109;-1;92;75;66;96;1;1 
1.200006;-1;71;87;-1;105;-1;1822;1935;93;93;1;1 
1.100006;93;108;-1;-1;-1;108;116;88;102;108;1;1 
1.000005;-1;-1;-1;125;-1;1914;137;1937;-1;99;1;1 
0.900005;84;-1;107;-1;137;-1;-1;90;-1;113;1;1 
0.800005;96;140;-1;-1;-1;-1;139;124;109;1914;1;1 
0.700005;149;1395;1929;1913;-1;135;-1;1983;149;125;1;1 
0.600005;-1;-1;155;-1;158;-1;139;-1;-1;-1;1;1 
0.500005;-1;-1;1669;1833;-1;-1;122;-1;-1;-1;1;1 
0.400005;-1;-1;125;169;174;-1;-1;-1;-1;-1;1;1 
0.300005;-1;140;-1;-1;163;-1;-1;-1;-1;1922;1;1 
0.200005;-1;-1;-1;-1;-1;-1;-1;192;-1;1914;1;1 
0.100005;-1;1651;-1;178;-1;4027;196;1855;-1;-1;1;1 
0.000005;-1;191;-1;-1;1909;1925;199;-1;-1;194;1;1 
