flexframegen:
  head          : 7 symbols
  preamble      : 64
  header        : 231 symbols (20 bytes)
  payload       : 5760 symbols (480 bytes)
    payload crc : none
    fec (inner) : none
    fec (outer) : repeat(3)
    mod scheme  : qpsk
  tail          : 7 symbols
  total         : 6069 symbols
  efficiency    : 0.63 bits/second/Hz
SNRdB;bitErrorRate_0;bitErrorRate_1;bitErrorRate_2;bitErrorRate_3;bitErrorRate_4;bitErrorRate_5;bitErrorRate_6;bitErrorRate_7;bitErrorRate_8;bitErrorRate_9;Valid Header,Detected Frame
8.000000;0;0;0;0;0;0;0;0;0;0;1;1 
7.900000;0;0;0;0;0;0;0;0;0;0;1;1 
7.800000;0;0;0;0;0;0;0;0;0;0;1;1 
7.700000;0;0;0;0;0;0;0;0;0;0;1;1 
7.600000;0;0;0;0;0;0;0;0;0;0;1;1 
7.500000;0;0;0;0;0;0;0;0;0;0;1;1 
7.400001;0;0;0;0;0;0;0;0;0;0;1;1 
7.300001;0;0;0;0;0;0;0;0;0;0;1;1 
7.200001;0;0;0;0;0;0;0;0;0;0;1;1 
7.100001;0;0;0;0;0;0;0;0;0;0;1;1 
7.000001;0;0;0;0;0;0;0;0;0;0;1;1 
6.900001;0;1;0;0;0;0;0;0;0;0;1;1 
6.800001;0;0;0;0;0;0;0;0;0;0;1;1 
6.700001;0;0;0;0;0;0;0;0;0;0;1;1 
6.600001;0;0;0;0;0;0;0;0;0;0;1;1 
6.500001;0;0;0;0;0;0;0;0;0;0;1;1 
6.400002;0;0;0;0;0;0;0;0;0;0;1;1 
6.300002;0;0;0;0;0;0;0;0;0;0;1;1 
6.200002;0;0;0;0;0;0;0;0;0;0;1;1 
6.100002;1;0;0;0;0;0;1;1;0;0;1;1 
6.000002;0;0;0;0;0;0;0;0;0;0;1;1 
5.900002;0;0;0;0;0;0;0;0;0;1;1;1 
5.800002;0;0;0;0;0;0;0;0;0;0;1;1 
5.700002;0;0;0;0;0;0;0;0;0;0;1;1 
5.600002;0;0;0;0;0;1;0;1;0;0;1;1 
5.500002;0;0;0;0;0;0;0;0;1;0;1;1 
5.400002;0;1;1;0;0;0;1;0;0;0;1;1 
5.300003;0;0;1;0;-1;0;0;0;0;0;1;1 
5.200003;0;0;0;0;0;0;0;0;0;0;1;1 
5.100003;1;0;0;0;0;0;2;0;0;1;1;1 
5.000003;2;0;3;1;1;0;0;1;0;0;1;1 
4.900003;0;0;1;3;0;0;2;0;0;3;1;1 
4.800003;0;0;3;1;0;2;2;1;0;0;1;1 
4.700003;0;1;1;1;0;0;1;0;1;2;1;1 
4.600003;1;0;0;0;0;0;3;1;0;1;1;1 
4.500003;0;1;1;1;2;0;0;0;1;0;1;1 
4.400003;3;1;1;2;4;4;2;0;3;0;1;1 
4.300004;4;0;1;2;-1;4;1;0;2;1;1;1 
4.200004;1;1;2;1;3;0;1;2;1;1;1;1 
4.100004;0;0;2;1;1;2;0;1;1;0;1;1 
4.000004;1;2;2;1;0;0;3;1;4;2;1;1 
3.900004;4;1;2;2;1;1531;1;2;1;2;1;1 
3.800004;5;3;3;5;2;1;1;2;2;2;1;1 
3.700004;2;-1;3;4;-1;2;4;3;3;5;1;1 
3.600004;2;0;3;1;5;4;4;7;4;3;1;1 
3.500004;3;4;9;3;5;1929;4;8;4;5;1;1 
3.400004;2;4;3;3;3;7;5;4;6;-1;1;1 
3.300004;2;2;7;2;7;5;3;5;10;2;1;1 
3.200005;1;5;4;6;6;8;5;5;9;9;1;1 
3.100005;8;7;8;8;5;4;6;10;4;-1;1;1 
3.000005;8;8;3;4;7;3;-1;3;10;6;1;1 
2.900005;11;9;7;4;3;3;15;2;10;5;1;1 
2.800005;13;12;5;5;10;10;-1;4;8;9;1;1 
2.700005;8;13;10;8;-1;15;7;7;10;12;1;1 
2.600005;10;12;8;8;16;16;17;8;15;1394;1;1 
2.500005;4;5;9;4;14;14;12;11;-1;8;1;1 
