flexframegen:
  head          : 7 symbols
  preamble      : 64
  header        : 231 symbols (20 bytes)
  payload       : 2880 symbols (480 bytes)
    payload crc : none
    fec (inner) : none
    fec (outer) : SEC-DEC(22,16)
    mod scheme  : qpsk
  tail          : 7 symbols
  total         : 3189 symbols
  efficiency    : 1.20 bits/second/Hz
SNRdB;bitErrorRate_0;bitErrorRate_1;bitErrorRate_2;bitErrorRate_3;bitErrorRate_4;bitErrorRate_5;bitErrorRate_6;bitErrorRate_7;bitErrorRate_8;bitErrorRate_9;Valid Header,Detected Frame
2.400005;69;1872;-1;62;59;58;84;70;83;53;1;1 
2.300005;104;72;73;-1;64;69;84;63;92;1902;1;1 
2.200006;62;84;50;87;87;1571;72;3979;92;1858;1;1 
2.100006;66;1759;93;106;98;1937;80;82;80;-1;1;1 
2.000006;77;5977;99;1949;89;48;103;87;-1;1884;1;1 
1.900006;92;-1;1998;88;115;122;98;116;-1;99;1;1 
1.800006;-1;101;-1;112;94;114;101;98;103;100;1;1 
1.700006;130;160;1978;95;104;1928;-1;107;103;127;1;1 
1.600006;142;-1;135;116;116;105;1772;118;124;-1;1;1 
1.500006;148;155;139;926;3949;136;-1;-1;-1;-1;1;1 
1.400006;149;129;152;126;-1;-1;-1;119;1939;150;1;1 
1.300006;-1;177;157;166;171;-1;164;143;160;150;1;1 
1.200006;-1;174;158;-1;144;1960;164;-1;154;158;1;1 
1.100006;-1;1834;-1;-1;188;-1;175;139;6064;226;1;1 
1.000005;-1;-1;-1;172;-1;1910;177;1966;247;193;1;1 
0.900005;1869;187;-1;-1;200;198;-1;199;-1;-1;1;1 
0.800005;184;222;-1;170;-1;-1;-1;182;197;3025;1;1 
0.700005;1659;1431;1901;1941;-1;214;-1;1996;1949;228;1;1 
0.600005;-1;-1;216;-1;247;-1;225;-1;-1;-1;1;1 
0.500005;-1;-1;680;1783;-1;238;211;267;-1;218;1;1 
0.400005;-1;236;212;1843;272;191;2005;-1;1960;-1;1;1 
0.300005;-1;4017;-1;-1;253;-1;-1;-1;-1;1846;1;1 
0.200005;-1;-1;-1;-1;-1;-1;3920;293;-1;1945;1;1 
0.100005;-1;1626;-1;296;-1;319;301;1877;289;1903;1;1 
0.000005;-1;263;-1;-1;292;1925;1681;-1;-1;285;1;1 
