flexframegen:
  head          : 7 symbols
  preamble      : 64
  header        : 231 symbols (20 bytes)
  payload       : 2880 symbols (480 bytes)
    payload crc : none
    fec (inner) : none
    fec (outer) : SEC-DEC(22,16)
    mod scheme  : qpsk
  tail          : 7 symbols
  total         : 3189 symbols
  efficiency    : 1.20 bits/second/Hz
SNRdB;bitErrorRate_0;bitErrorRate_1;bitErrorRate_2;bitErrorRate_3;bitErrorRate_4;bitErrorRate_5;bitErrorRate_6;bitErrorRate_7;bitErrorRate_8;bitErrorRate_9;Valid Header,Detected Frame
8.000000;0;0;0;0;0;0;0;0;0;0;1;1 
7.900000;0;0;0;0;0;0;0;0;0;0;1;1 
7.800000;0;0;0;0;0;0;0;0;0;0;1;1 
7.700000;0;0;0;0;0;0;0;0;0;0;1;1 
7.600000;0;0;0;0;1;0;0;0;2;0;1;1 
7.500000;0;0;0;0;0;0;0;0;0;0;1;1 
7.400001;0;2;0;0;0;0;0;0;0;0;1;1 
7.300001;0;0;0;0;0;0;0;0;0;0;1;1 
7.200001;0;0;0;0;0;0;0;0;0;0;1;1 
7.100001;0;0;0;0;0;0;0;0;0;0;1;1 
7.000001;0;0;0;0;0;0;0;0;0;0;1;1 
6.900001;0;0;0;0;0;2;0;0;0;0;1;1 
6.800001;0;0;0;0;0;0;0;0;0;0;1;1 
6.700001;0;0;0;0;0;0;0;0;0;2;1;1 
6.600001;0;0;0;0;0;2;0;0;0;0;1;1 
6.500001;0;0;2;0;0;0;0;0;0;0;1;1 
6.400002;0;0;0;0;0;0;0;0;0;0;1;1 
6.300002;2;0;0;0;0;0;0;0;2;0;1;1 
6.200002;0;0;0;0;0;0;0;0;0;0;1;1 
6.100002;2;8;0;0;1;0;0;2;1;0;1;1 
6.000002;0;0;0;0;0;0;0;2;0;0;1;1 
5.900002;2;0;2;0;1;0;1;0;0;0;1;1 
5.800002;0;2;2;0;2;2;1;0;1;0;1;1 
5.700002;0;0;0;0;2;2;1;0;2;0;1;1 
5.600002;2;0;2;3;0;0;0;2;0;0;1;1 
5.500002;1;0;0;3;0;3;0;2;5;0;1;1 
5.400002;0;3;0;0;0;3;2;2;4;0;1;1 
5.300003;8;3;2;4;-1;0;2;0;3;6;1;1 
5.200003;7;2;5;2;2;1;2;0;3;1;1;1 
5.100003;3;4;0;3;1;0;3;2;2;2;1;1 
5.000003;3;1;0;3;3;6;3;3;4;0;1;1 
4.900003;2;5;4;5;3;6;0;3;4;4;1;1 
4.800003;11;2;10;3;1;2;7;7;7;3;1;1 
4.700003;8;7;3;8;4;6;3;11;7;4;1;1 
4.600003;4;10;9;0;12;6;7;2;9;9;1;1 
4.500003;8;11;11;6;14;4;3;3;2;11;1;1 
4.400003;3;3;11;12;10;1;10;2;4;8;1;1 
4.300004;8;12;6;11;6;7;10;8;20;11;1;1 
4.200004;10;16;13;9;9;20;6;5;13;8;1;1 
4.100004;19;17;8;9;20;12;22;18;15;8;1;1 
4.000004;21;6;9;13;27;13;13;19;26;8;1;1 
3.900004;15;16;5;10;12;1515;10;8;13;10;1;1 
3.800004;20;13;13;19;13;15;10;17;25;3;1;1 
3.700004;20;10;4;35;-1;14;17;22;22;7;1;1 
3.600004;22;25;20;20;22;18;9;26;20;31;1;1 
3.500004;26;14;16;31;23;18;28;23;22;34;1;1 
3.400004;17;23;18;24;32;21;40;24;30;-1;1;1 
3.300004;38;24;37;31;18;27;31;1933;25;36;1;1 
3.200005;24;29;34;49;39;49;24;52;34;47;1;1 
3.100005;48;51;44;63;35;28;42;46;27;-1;1;1 
3.000005;44;39;51;41;27;24;10023;38;31;40;1;1 
2.900005;35;36;37;35;36;58;58;51;44;37;1;1 
2.800005;54;30;65;40;35;60;46;52;38;46;1;1 
2.700005;46;61;1926;41;78;47;64;54;50;51;1;1 
2.600005;67;48;46;53;60;56;72;52;65;64;1;1 
2.500005;70;44;69;34;64;65;52;78;-1;70;1;1 
